#{"t_start": 1774883352.9148605, "env_id": "None"}
r,l,t
7877.837546,50,0.031622
-1600.738337,50,0.058393
2599.862527,50,0.079199
474.488025,50,0.095095
7027.369926,50,0.136524
2724.224749,50,0.213231
2917.61313,50,0.24285
8751.361947,50,0.267574
6147.405864,50,0.292589
2890.884809,50,0.314574
7903.916982,50,0.393665
-884.084973,50,0.425353
3771.225055,50,0.455185
4286.792063,50,0.472741
10511.279297,50,0.504251
7081.221705,50,0.587007
4734.537538,50,0.615217
6389.525055,50,0.631148
3972.062563,50,0.673177
6444.175042,50,0.702703
5521.962538,50,0.795111
2813.010737,50,0.826701
9638.087552,50,0.858302
1706.974016,50,0.887262
9894.87504,50,0.921556
8735.123141,50,1.010212
-1302.187475,50,1.041663
7197.737548,50,1.079396
3582.925042,50,1.105064
3959.950056,50,1.152494
-3184.770735,50,1.261787
9991.822777,50,1.299819
5832.713784,50,1.335685
12215.675048,50,1.359541
4873.696406,50,1.407076
11794.22108,50,1.501701
15539.93756,50,1.533086
6346.53754,50,1.564683
-324.949937,50,1.599957
7348.295175,50,1.631839
-443.956564,50,1.726652
2714.125058,50,1.758023
10265.775036,50,1.789633
8468.100052,50,1.819217
6633.950062,50,1.848996
8532.775049,50,1.880601
4377.450054,50,1.975931
9416.562541,50,2.007789
1520.700049,50,2.039383
1454.36253,50,2.07117
6786.377779,50,2.103234
13320.637548,50,2.198326
12634.412551,50,2.228109
7967.937553,50,2.245613
7234.850042,50,2.277385
8829.337552,50,2.309164
6593.475056,50,2.414551
10769.412551,50,2.446071
493.788466,50,2.475696
11562.47505,50,2.500974
8816.225056,50,2.534577
8252.350064,50,2.60901
8675.368355,50,2.640465
6759.125026,50,2.672039
6659.062549,50,2.713098
11427.25006,50,2.742355
5577.262557,50,2.82917
2410.70006,50,2.860563
10069.950055,50,2.892131
9333.200051,50,2.928065
14654.487553,50,2.960516
3413.07505,50,3.05062
8255.712554,50,3.086086
2423.400066,50,3.113381
7841.537557,50,3.144973
7244.800053,50,3.176466
6374.575058,50,3.26957
10039.012556,50,3.305461
7517.825027,50,3.33495
13020.700056,50,3.366974
9142.400057,50,3.398743
8277.900056,50,3.505425
8083.825058,50,3.537037
9852.025047,50,3.570642
9650.925051,50,3.602275
9255.862557,50,3.631874
1916.100032,50,3.663481
1140.600059,50,3.756588
8896.575056,50,3.778322
3970.375056,50,3.810157
7176.137552,50,3.842983
7824.18753,50,3.885395
10587.250021,50,3.977353
10878.250034,50,4.000631
14020.137556,50,4.040521
2677.662555,50,4.072044
11561.750057,50,4.101832
10146.087558,50,4.19899
9840.550059,50,4.234016
1443.962561,50,4.265276
4947.075059,50,4.295394
9472.53756,50,4.326131
5918.12506,50,4.42072
4704.975058,50,4.452241
9318.175055,50,4.487569
9342.187557,50,4.518727
13088.862553,50,4.550896
9002.900057,50,4.645439
9141.050045,50,4.677059
5623.287554,50,4.709178
12063.012558,50,4.741058
7953.025055,50,4.772733
6087.000046,50,4.869034
5101.212557,50,4.909235
7287.325059,50,4.942046
2140.450057,50,4.975764
9769.187553,50,4.995542
9009.475057,50,5.100018
3961.900058,50,5.135547
1285.35006,50,5.153157
7019.475054,50,5.192566
1881.300057,50,5.21627
10972.500054,50,5.329369
7089.875062,50,5.358958
10621.400043,50,5.392993
7161.375059,50,5.422212
9348.350029,50,5.438138
8646.975055,50,5.469913
12884.312554,50,5.580572
5810.112558,50,5.612994
4119.98755,50,5.645659
4608.762556,50,5.67542
6105.212555,50,5.707235
5312.812557,50,5.814651
3694.362556,50,5.848283
8822.912558,50,5.879901
13202.625052,50,5.915283
10102.337559,50,5.944634
7023.862553,50,6.039668
6078.600052,50,6.077502
11662.812543,50,6.115369
12002.587557,50,6.150704
5151.425061,50,6.18248
2062.625036,50,6.278124
3735.200057,50,6.319791
10704.250045,50,6.353352
7416.95006,50,6.38696
6573.425058,50,6.420804
-158.087443,50,6.521733
10901.212545,50,6.547244
12367.237557,50,6.584795
905.862558,50,6.614572
4256.500059,50,6.642216
10675.162557,50,6.737068
6218.825022,50,6.769085
6408.775059,50,6.803338
10278.250054,50,6.836694
9690.762554,50,6.866297
11640.500058,50,6.965416
4046.950034,50,6.995528
6059.22505,50,7.0269
4743.562557,50,7.060518
7028.275051,50,7.097657
-6007.962444,50,7.181156
5920.800059,50,7.230544
3037.750055,50,7.260034
9792.712556,50,7.297993
13716.100056,50,7.329281
8638.237557,50,7.428351
10870.337557,50,7.464227
9391.837522,50,7.497842
-247.199943,50,7.529353
9600.325055,50,7.569016
5115.650057,50,7.602594
7993.337557,50,7.700811
10297.225042,50,7.731603
9666.675045,50,7.763765
7684.875054,50,7.798211
-1208.974939,50,7.827222
10111.737561,50,7.907882
8147.350049,50,7.957857
11180.175057,50,7.990675
5856.875055,50,8.020457
7877.337555,50,8.049971
9453.66255,50,8.156894
8228.587541,50,8.191634
6987.612559,50,8.223156
-1742.524939,50,8.255025
7584.075059,50,8.271127
13686.787558,50,8.382116
3501.43756,50,8.413199
8198.225057,50,8.444811
6848.012559,50,8.474671
9236.10006,50,8.506294
11787.475054,50,8.603134
5758.32506,50,8.636749
6903.000059,50,8.667794
9438.500059,50,8.698342
13164.337556,50,8.713103
-2584.812442,50,8.823653
6690.86253,50,8.855149
12314.10004,50,8.886631
4923.737523,50,8.928138
8106.85006,50,8.949908
6786.225047,50,9.044505
12888.525054,50,9.076204
6348.037558,50,9.10821
4255.68756,50,9.139819
-1538.537441,50,9.171458
6487.387557,50,9.266657
8437.637561,50,9.313248
10495.40005,50,9.34592
5862.025058,50,9.381657
10971.58755,50,9.410916
7625.025058,50,9.442177
11212.85006,50,9.543168
6630.412562,50,9.566899
1027.55006,50,9.598927
9301.275059,50,9.638525
5014.262535,50,9.670968
1948.937562,50,9.757371
14232.112557,50,9.803154
8847.450029,50,9.834763
4776.812551,50,9.864366
8727.425038,50,9.896001
11165.100044,50,9.989101
9118.287559,50,10.018711
9045.087559,50,10.050331
9738.362558,50,10.079932
8252.150032,50,10.111812
11522.150045,50,10.206583
8180.475053,50,10.238195
10585.837551,50,10.269812
7662.312546,50,10.303443
411.737556,50,10.335047
6449.687561,50,10.430993
9745.525047,50,10.463465
11656.362558,50,10.50062
1106.712554,50,10.51627
5066.85002,50,10.547747
6774.137555,50,10.642811
7167.475057,50,10.67434
15243.362552,50,10.717889
7193.787552,50,10.75576
6279.925059,50,10.786544
8225.387559,50,10.881223
14022.675058,50,10.910968
7828.837531,50,10.94977
12841.337555,50,10.980627
7395.675059,50,11.009992
9743.425052,50,11.103073
7325.562537,50,11.132676
7801.637557,50,11.164375
10441.637542,50,11.180181
7066.162518,50,11.212164
3760.900058,50,11.244105
9408.725057,50,11.339299
6405.062548,50,11.371479
4318.237558,50,11.403256
3796.875059,50,11.443021
14855.800055,50,11.47463
9398.825031,50,11.573471
7590.162539,50,11.604232
8900.125023,50,11.638026
9322.08755,50,11.655531
9761.987547,50,11.703125
6641.65006,50,11.798122
7914.850048,50,11.833701
8950.387535,50,11.861315
7230.70004,50,11.900258
11311.362542,50,11.936679
6837.46253,50,12.034207
6267.187558,50,12.071656
12850.237544,50,12.100802
13021.025055,50,12.130584
13771.375059,50,12.167823
12014.700037,50,12.262397
-545.274943,50,12.298024
7234.037544,50,12.329832
9326.950056,50,12.365065
13466.25004,50,12.398687
11655.062557,50,12.493762
5366.837552,50,12.525139
6739.162549,50,12.556746
9156.162559,50,12.590434
11097.300058,50,12.620148
7559.162558,50,12.715202
12674.550061,50,12.746852
4809.375048,50,12.786581
8727.162557,50,12.820379
7430.33753,50,12.841533
12097.687559,50,12.946909
4976.212522,50,12.984283
6195.212559,50,13.013647
6285.437557,50,13.045531
5910.787557,50,13.077154
11225.687544,50,13.17593
3690.250037,50,13.205447
10161.037559,50,13.236876
1590.612559,50,13.268672
5270.975059,50,13.315598
15981.225044,50,13.347893
12431.200058,50,13.442552
9120.662546,50,13.474256
7487.237557,50,13.505826
1875.400043,50,13.537514
8762.550058,50,13.573038
7510.262558,50,13.665621
7259.537559,50,13.695229
5417.88756,50,13.727112
6292.000052,50,13.756989
9594.450029,50,13.788602
3879.67506,50,13.869862
11530.137559,50,13.90226
7443.925025,50,13.932981
7984.025053,50,13.972478
1656.750059,50,14.0046
8993.487553,50,14.095177
12294.575054,50,14.126548
11600.212559,50,14.160172
7975.512557,50,14.189773
8586.75006,50,14.221136
4600.38756,50,14.318496
4824.950059,50,14.352045
3794.53755,50,14.383662
489.587541,50,14.419538
10493.700022,50,14.450805
1034.037557,50,14.555357
5062.000057,50,14.584958
11185.275059,50,14.620843
-333.52496,50,14.655324
11272.387528,50,14.691916
4347.900058,50,14.785262
3783.212526,50,14.815882
3203.000059,50,14.846755
5821.125059,50,14.883996
5998.425057,50,14.915686
4586.287562,50,15.004071
10990.125057,50,15.023862
3013.987557,50,15.069305
10228.150059,50,15.100831
7438.800059,50,15.131852
2956.81256,50,15.149951
10604.762558,50,15.255257
6963.62504,50,15.288503
10558.300052,50,15.318109
10750.850058,50,15.349726
-1802.74994,50,15.381347
11204.425059,50,15.481988
12408.087551,50,15.514024
10215.287556,50,15.529788
6448.187553,50,15.575547
8323.675059,50,15.610864
5374.012561,50,15.704899
