#{"t_start": 1774882715.9377506, "env_id": "None"}
r,l,t
6551.325058,50,0.041649
5238.717531,50,0.074445
1595.591644,50,0.156886
-4374.373003,50,0.188566
6902.34925,50,0.204225
2233.242924,50,0.283022
-87.14389,50,0.317672
6438.675053,50,0.400902
304.232287,50,0.426024
1825.548827,50,0.441781
4263.275058,50,0.540658
-2255.262434,50,0.568002
6575.65984,50,0.646653
2347.739522,50,0.678534
8946.781452,50,0.710679
9398.800055,50,0.803014
6964.437543,50,0.821122
4232.457448,50,0.931879
1936.45004,50,0.963979
5529.703785,50,1.005572
4615.12685,50,1.147403
10845.636626,50,1.184694
10387.662554,50,1.216511
4958.062525,50,1.343601
5751.968352,50,1.378549
12138.262543,50,1.469076
3600.787559,50,1.508551
6595.025054,50,1.542698
3151.300053,50,1.62767
9182.48755,50,1.659408
5971.387555,50,1.75405
6321.035865,50,1.785711
-864.724937,50,1.817448
9054.637556,50,1.910391
11044.137554,50,1.935948
2849.712555,50,2.008053
1565.450055,50,2.051577
-3010.149953,50,2.081095
4970.212553,50,2.167336
7754.075055,50,2.197033
-233.912447,50,2.276428
9153.225059,50,2.315528
842.512554,50,2.339374
6793.48754,50,2.432462
9096.087544,50,2.462519
10997.28756,50,2.493797
5899.900054,50,2.591573
3238.900061,50,2.623321
3552.175051,50,2.718639
1685.56255,50,2.750235
4701.625043,50,2.784956
-202.149948,50,2.877534
9216.162559,50,2.902047
4812.75005,50,2.989
7766.187553,50,3.026892
3644.787555,50,3.056414
9795.875047,50,3.151017
8292.325046,50,3.1786
6819.384585,50,3.273468
8086.137557,50,3.3052
6717.975057,50,3.336884
4784.594731,50,3.43168
8747.80005,50,3.46321
2576.962554,50,3.497085
9966.075056,50,3.57389
7487.025063,50,3.605423
9990.419263,50,3.703143
4163.32488,50,3.732722
9166.650056,50,3.764254
9775.000055,50,3.869521
10354.375063,50,3.906173
12511.587551,50,4.021159
6818.325054,50,4.059812
13277.887539,50,4.091656
5841.412524,50,4.203332
8338.062558,50,4.237569
7871.622918,50,4.332717
7629.50006,50,4.36695
6457.925062,50,4.400235
1882.137539,50,4.502414
9322.375048,50,4.521935
10794.662558,50,4.633712
7418.612523,50,4.664582
8909.162549,50,4.694437
6701.437557,50,4.774894
5781.175039,50,4.816087
5324.350056,50,4.848732
7958.087547,50,4.933283
7469.425059,50,4.98068
986.062561,50,5.071275
-1267.462442,50,5.102797
6110.437561,50,5.122305
5064.950046,50,5.233624
6786.951318,50,5.265642
4832.050056,50,5.36094
6236.450065,50,5.392635
5302.800061,50,5.424403
1022.587539,50,5.505684
11312.575049,50,5.537629
7907.187559,50,5.630241
6803.662559,50,5.661819
12125.560417,50,5.69333
9676.087548,50,5.788277
5583.921396,50,5.819775
8701.337552,50,5.91514
11871.875054,50,5.946893
6849.212562,50,5.984584
7521.412559,50,6.073429
1582.212556,50,6.106409
7120.262542,50,6.136849
10932.112555,50,6.232709
4806.112567,50,6.262495
2509.000051,50,6.351837
9537.55005,50,6.389034
10019.50006,50,6.421144
8281.700025,50,6.523156
7206.662522,50,6.547229
2973.97502,50,6.649836
8930.950045,50,6.68199
10420.237564,50,6.712894
8311.537558,50,6.806795
9369.237559,50,6.83113
9245.40005,50,6.944283
12960.16255,50,6.973805
13742.762562,50,7.007107
7996.02506,50,7.098925
4717.062559,50,7.128792
11899.612557,50,7.164372
6083.962544,50,7.243468
12980.075055,50,7.275584
7583.437538,50,7.355219
6254.737558,50,7.386995
3741.225054,50,7.431041
7760.775034,50,7.519586
7871.550031,50,7.54457
6034.075042,50,7.644582
8636.83756,50,7.67597
8165.887559,50,7.712368
7683.912536,50,7.807166
4490.637522,50,7.83909
9256.987558,50,7.929168
5100.487559,50,7.962784
7029.600052,50,7.997958
2203.800048,50,8.081064
7104.41256,50,8.114804
6202.825041,50,8.210628
9760.912552,50,8.240852
4284.287519,50,8.272446
1443.275058,50,8.367826
4937.150043,50,8.399816
10981.85004,50,8.431429
7854.787542,50,8.526731
3883.96254,50,8.560737
9521.150049,50,8.654444
5067.950054,50,8.68568
8569.262563,50,8.717209
2223.812551,50,8.809096
11968.400059,50,8.828564
10431.525048,50,8.928931
13047.462553,50,8.960799
9269.600061,50,8.986387
9245.675062,50,9.085038
14870.937558,50,9.116822
10598.162541,50,9.209397
3097.300057,50,9.248435
7902.337554,50,9.272015
4151.312559,50,9.367015
2264.262559,50,9.408878
10544.125051,50,9.512575
10571.062561,50,9.542164
10570.625063,50,9.573501
7693.337547,50,9.668048
13240.800058,50,9.699758
3251.787553,50,9.73143
5730.175057,50,9.811542
10434.962555,50,9.858769
9724.787559,50,9.959227
2741.900061,50,9.98801
7208.600057,50,10.017538
12627.56255,50,10.096845
7377.412559,50,10.128787
6671.637558,50,10.245879
11803.550039,50,10.281934
9065.67506,50,10.310333
13932.33756,50,10.413424
9876.412563,50,10.445034
10975.312546,50,10.556463
9607.76255,50,10.599074
1761.612559,50,10.636121
8424.237561,50,10.731447
6635.525021,50,10.769186
5464.500057,50,10.804805
4726.87506,50,10.905361
2926.525058,50,10.937602
9064.150029,50,11.032203
10257.975057,50,11.063629
14574.275059,50,11.094938
9688.150059,50,11.187581
12424.875038,50,11.220932
-1504.137435,50,11.322654
7911.600058,50,11.346285
3564.437544,50,11.378102
11998.60006,50,11.487486
6542.575027,50,11.521583
12831.375045,50,11.611195
2914.350041,50,11.646803
9411.912562,50,11.681955
8211.487527,50,11.773573
12996.625043,50,11.8136
7725.525057,50,11.915911
14585.762556,50,11.94542
6692.30005,50,11.976779
4208.487564,50,12.058194
10340.15006,50,12.089872
5407.500041,50,12.121535
9379.462557,50,12.216818
10886.91252,50,12.248777
10788.38755,50,12.343335
-635.949944,50,12.374987
10470.425062,50,12.411018
10984.225048,50,12.50993
10708.575059,50,12.533504
10339.66256,50,12.638256
12708.912552,50,12.668777
4819.925059,50,12.692291
9377.38756,50,12.787514
-138.774943,50,12.823745
8461.800055,50,12.91366
5041.987564,50,12.94537
11892.862551,50,12.976991
4130.712548,50,13.071564
11496.625055,50,13.103134
7625.862549,50,13.181889
8878.162554,50,13.229915
4882.20003,50,13.261623
8905.625042,50,13.340559
7541.462558,50,13.371881
8895.025045,50,13.419394
3514.687554,50,13.514699
8057.075043,50,13.54644
11354.400057,50,13.641227
7222.100054,50,13.673232
6409.445176,50,13.689978
8919.062558,50,13.784749
11382.712558,50,13.816698
2217.26256,50,13.927671
897.862557,50,13.959877
4534.037534,50,13.991621
9132.32505,50,14.09377
6107.97506,50,14.128805
10612.987542,50,14.22613
7714.887553,50,14.261302
36.962564,50,14.292754
6456.425018,50,14.403373
8500.612551,50,14.441036
3079.787555,50,14.470857
13098.350051,50,14.581382
13338.525059,50,14.614234
13529.850051,50,14.714138
3725.850018,50,14.751426
7743.275058,50,14.787563
11418.812531,50,14.878669
-824.112436,50,14.925598
8928.47504,50,15.040033
5815.300025,50,15.074475
10755.71254,50,15.111273
6299.225058,50,15.203585
3196.287565,50,15.225441
6152.987536,50,15.320682
2618.437558,50,15.367084
3212.012545,50,15.400592
3460.387557,50,15.495574
6149.712546,50,15.526867
14138.487552,50,15.616972
11378.525059,50,15.652504
7011.837558,50,15.668514
7794.262547,50,15.762625
6058.58756,50,15.794611
12200.662538,50,15.841984
4931.475058,50,15.921018
8785.025034,50,15.967233
10047.87506,50,16.063353
6795.20004,50,16.09488
4895.025051,50,16.126961
7460.412516,50,16.206017
11881.325058,50,16.237844
186.375069,50,16.333309
2752.13753,50,16.364993
8139.40005,50,16.408969
-3685.374939,50,16.505982
9129.050047,50,16.539439
5396.450059,50,16.618043
6070.412551,50,16.665433
1537.287561,50,16.696827
8030.337558,50,16.79182
11296.962557,50,16.823247
6055.375052,50,16.918574
13679.800052,50,16.950304
6786.212532,50,16.981745
6879.77504,50,17.084593
433.43756,50,17.117725
12462.712549,50,17.14029
9793.225059,50,17.235727
2980.52506,50,17.268623
4807.725024,50,17.377875
4593.52506,50,17.409396
4621.46253,50,17.441049
3574.337558,50,17.531012
7098.23753,50,17.564341
12307.750049,50,17.657871
8737.912558,50,17.689478
8907.237558,50,17.721095
6721.312559,50,17.813734
8206.812557,50,17.837095
7184.612563,50,17.932629
4802.30006,50,17.976438
3606.212532,50,18.009705
3090.587562,50,18.090242
6958.875034,50,18.13752
10494.212562,50,18.169261
7046.550035,50,18.24892
8232.425062,50,18.29788
-2908.387442,50,18.394509
711.725062,50,18.422387
7500.162562,50,18.460066
5705.912553,50,18.53287
8389.12504,50,18.564536
7254.000068,50,18.667557
11659.425061,50,18.691328
2837.825023,50,18.723512
8194.925061,50,18.820232
8325.887554,50,18.863174
-1103.324955,50,18.946455
5156.000055,50,18.978317
8351.812554,50,19.022297
3108.237543,50,19.104571
3854.862559,50,19.14256
5344.012553,50,19.230454
9027.13756,50,19.262223
9463.150041,50,19.294341
3016.18756,50,19.389993
1299.600058,50,19.421241
8143.337564,50,19.464797
11939.312532,50,19.547556
8433.687541,50,19.579056
556.85006,50,19.676012
10294.537551,50,19.7056
12864.037562,50,19.749053
