#{"t_start": 1774882125.714047, "env_id": "None"}
r,l,t
9457.981783,50,0.032161
4741.951566,50,0.060346
747.153248,50,0.083171
6297.552006,50,0.111673
7257.463629,50,0.146312
2170.809781,50,0.22751
6997.075056,50,0.255968
7317.871994,50,0.283438
4381.116726,50,0.311136
6072.594286,50,0.336996
2645.049068,50,0.426933
7820.962559,50,0.458757
1720.97208,50,0.490555
6684.623533,50,0.524326
1980.703692,50,0.554576
2243.690898,50,0.632661
10097.925044,50,0.674305
6967.675055,50,0.695572
10181.062021,50,0.727294
4962.312559,50,0.758804
7900.685233,50,0.854173
6346.271616,50,0.886068
5193.150044,50,0.917815
3892.082521,50,0.949399
9902.162553,50,0.981012
7048.037546,50,1.074138
5445.850044,50,1.107505
11964.775038,50,1.13907
3164.614787,50,1.154932
-245.14996,50,1.186691
8952.62504,50,1.305919
2125.237555,50,1.345513
686.100058,50,1.384131
7798.325055,50,1.424685
5891.362569,50,1.456465
4369.133579,50,1.551756
6282.343034,50,1.584305
6241.410778,50,1.620185
3116.925061,50,1.647771
7962.38755,50,1.684409
6969.987554,50,1.773943
7219.037562,50,1.803922
10125.875041,50,1.84952
3467.142072,50,1.884647
11318.437555,50,1.914502
2391.612558,50,1.946065
7802.425031,50,2.040802
7867.175022,50,2.07855
2967.350035,50,2.108073
690.650061,50,2.135587
6626.612549,50,2.167224
8514.662549,50,2.260591
11486.325058,50,2.290638
10911.287562,50,2.319207
11000.487556,50,2.340975
8953.662552,50,2.372346
3154.062539,50,2.45154
8037.500054,50,2.485147
-2008.549936,50,2.52872
5074.512559,50,2.562189
8572.237544,50,2.585266
9469.837555,50,2.673078
3814.650056,50,2.7048
2772.600054,50,2.736208
7471.012533,50,2.771892
6812.01256,50,2.799816
6824.250046,50,2.89932
-2270.09994,50,2.926837
2948.662562,50,2.958621
6666.389147,50,2.99013
4018.212556,50,3.02351
10837.750048,50,3.122609
3542.225058,50,3.156234
1835.550055,50,3.192337
7670.675062,50,3.220833
10041.034464,50,3.254725
-622.637483,50,3.336586
11489.037537,50,3.368692
3833.737555,50,3.409993
9397.300058,50,3.439766
13073.825063,50,3.469411
5569.875054,50,3.566136
5132.900045,50,3.589795
5450.912555,50,3.637322
2052.811579,50,3.669228
8269.787547,50,3.701049
7927.62505,50,3.732447
8555.625055,50,3.829597
8718.925055,50,3.859533
6422.300022,50,3.891355
12319.362551,50,3.922824
12153.425058,50,3.954057
7864.11256,50,4.048674
6600.262553,50,4.064371
7162.340912,50,4.11007
5391.825067,50,4.14608
9697.137533,50,4.176873
5952.525059,50,4.269165
4558.525046,50,4.302673
7126.787548,50,4.332741
3954.812528,50,4.364299
6013.212557,50,4.389044
4955.750054,50,4.493072
9450.150037,50,4.530087
5905.512548,50,4.559875
4867.875058,50,4.589518
8850.11256,50,4.622867
10824.03755,50,4.719989
12539.400059,50,4.750173
12422.737548,50,4.775195
5249.262551,50,4.814974
4889.537557,50,4.850593
9906.537521,50,4.949129
3230.612557,50,4.97839
6015.762557,50,5.009199
4660.112557,50,5.040721
15056.637555,50,5.074232
9588.375062,50,5.168614
6321.450043,50,5.205951
-906.762472,50,5.231671
476.937556,50,5.263382
5155.050054,50,5.295617
153.11256,50,5.406357
10849.375039,50,5.438041
10070.125059,50,5.469684
8877.850023,50,5.501793
8518.600042,50,5.533267
8176.350042,50,5.562788
8754.750056,50,5.661967
1681.20006,50,5.702097
11691.587557,50,5.73232
3486.137559,50,5.755414
11446.062559,50,5.792836
4265.062556,50,5.890759
9585.06255,50,5.913979
6039.300038,50,5.945738
3040.875066,50,5.991061
10500.525048,50,6.024784
7555.525046,50,6.120221
10540.487552,50,6.152021
2699.275032,50,6.183645
13131.975049,50,6.217404
6950.42506,50,6.247188
5547.062526,50,6.341969
7205.15005,50,6.387847
6607.750062,50,6.421258
7133.737519,50,6.457297
7836.700052,50,6.488556
7364.787563,50,6.579132
11775.862545,50,6.61096
14717.712552,50,6.64258
7144.93756,50,6.674259
2720.312517,50,6.704124
11461.800057,50,6.795938
5465.050056,50,6.826641
7322.850056,50,6.858724
2770.500057,50,6.890018
8640.537547,50,6.923556
6181.062535,50,7.027858
4895.425033,50,7.053456
6518.500058,50,7.085407
6796.825057,50,7.120546
6136.725055,50,7.152792
9620.537549,50,7.243123
5679.350054,50,7.276697
9750.450061,50,7.311136
7887.225022,50,7.337662
4628.037517,50,7.369475
8946.15006,50,7.464589
12197.712554,50,7.496155
5483.60003,50,7.532212
10841.087557,50,7.565822
2243.187518,50,7.598627
8440.875051,50,7.623167
7187.087551,50,7.732203
1661.225062,50,7.765542
14069.55006,50,7.797515
10508.525057,50,7.829046
2514.712554,50,7.860556
7962.700055,50,7.955859
5347.037558,50,7.987382
7765.800056,50,8.018671
6361.925054,50,8.050208
7465.887553,50,8.083869
6542.112559,50,8.180767
9388.725062,50,8.214551
8524.33756,50,8.24007
12098.850059,50,8.275374
5977.675057,50,8.305394
3040.375056,50,8.401838
1611.675058,50,8.431094
2662.225048,50,8.460352
8798.425048,50,8.497711
-2968.637447,50,8.531551
-4161.974945,50,8.617765
-2117.962446,50,8.649553
1117.175023,50,8.694053
386.400062,50,8.712814
4926.237557,50,8.75813
10618.325044,50,8.838923
10064.362555,50,8.89442
9447.837542,50,8.929965
6617.437559,50,8.965728
2804.387556,50,8.999791
5427.462556,50,9.094249
8122.512557,50,9.124432
11429.525052,50,9.173778
2443.95006,50,9.203684
8404.650058,50,9.235365
2420.425057,50,9.330654
15454.487559,50,9.362582
11086.525049,50,9.39493
7485.387559,50,9.426151
6588.675059,50,9.457633
2197.737543,50,9.504738
8380.775046,50,9.600319
12107.262542,50,9.63825
9017.100058,50,9.671698
6610.675044,50,9.695182
7689.125058,50,9.727299
10947.837555,50,9.822056
7980.725056,50,9.853799
7681.887557,50,9.897735
8976.687536,50,9.931395
11659.75006,50,9.964738
10908.500058,50,10.070901
4586.950044,50,10.106437
7260.175058,50,10.144778
10713.58756,50,10.169896
7605.500062,50,10.207551
10309.850051,50,10.296234
-5.199943,50,10.327819
11491.475057,50,10.361562
13568.700056,50,10.407317
8924.175032,50,10.44338
6667.687557,50,10.553939
4278.162537,50,10.59157
10072.575042,50,10.623449
7150.637562,50,10.657065
4933.43756,50,10.692398
3527.86256,50,10.786609
11021.150052,50,10.818391
15978.337548,50,10.852201
5146.887561,50,10.883632
7196.37506,50,10.917049
9497.375057,50,11.008168
1750.512559,50,11.039856
14473.925057,50,11.071605
10553.462555,50,11.116575
9886.912536,50,11.134078
8090.225055,50,11.228592
9679.07506,50,11.272041
11719.800061,50,11.303564
-1082.737441,50,11.334594
4267.487561,50,11.370096
11977.862561,50,11.401393
5869.825029,50,11.512338
5626.200058,50,11.544467
9358.637557,50,11.577022
10816.12504,50,11.607415
136.687559,50,11.639095
11467.437544,50,11.750078
13910.162555,50,11.781771
7384.050061,50,11.815666
9241.212558,50,11.84453
7589.850059,50,11.876148
5576.037559,50,11.970887
5652.262554,50,12.002601
2688.775018,50,12.034924
8453.112523,50,12.075884
6615.30006,50,12.116187
6149.662559,50,12.214033
6437.32506,50,12.245637
12959.587561,50,12.277243
7320.16256,50,12.3031
10985.087557,50,12.33473
5996.412559,50,12.43089
10122.075059,50,12.463987
10433.825059,50,12.498368
3387.975055,50,12.532906
11436.08756,50,12.564577
12862.837559,50,12.651197
5470.325054,50,12.68279
7683.550057,50,12.718586
6465.525031,50,12.746298
7463.200053,50,12.779722
4030.387559,50,12.88825
-1125.674939,50,12.92605
4824.675058,50,12.951962
7485.200061,50,12.984036
10011.56256,50,13.015127
10026.975049,50,13.109881
5497.687558,50,13.141723
5988.387539,50,13.173327
9897.937546,50,13.220778
10355.062537,50,13.252532
8864.025058,50,13.355199
9985.137559,50,13.38846
9562.21256,50,13.41024
12622.100058,50,13.45584
13944.250053,50,13.489299
7176.175034,50,13.529403
7445.287529,50,13.617337
9122.862558,50,13.659174
7511.450065,50,13.690434
8331.500049,50,13.721942
568.687566,50,13.751459
12729.562549,50,13.83628
5679.375061,50,13.877197
8983.225055,50,13.899689
11323.487558,50,13.931331
8013.750053,50,13.974741
9067.587525,50,14.074573
5230.300057,50,14.106024
4718.850049,50,14.135546
9607.300036,50,14.16947
398.662559,50,14.199953
-656.462452,50,14.30623
6453.437537,50,14.344096
6487.27506,50,14.373695
84.500057,50,14.405726
3772.200052,50,14.437136
6640.975054,50,14.531785
11934.775041,50,14.563364
6040.10006,50,14.600488
6531.737557,50,14.642329
11636.362559,50,14.677779
