#{"t_start": 1774881672.1063168, "env_id": "None"}
r,l,t
-1913.671601,50,0.035902
627.761999,50,0.062645
9930.310056,50,0.078584
5914.594065,50,0.120467
6404.34969,50,0.147803
6621.162526,50,0.269397
1094.278125,50,0.29681
5317.832545,50,0.316686
1171.126229,50,0.348587
5839.625048,50,0.364504
5606.53753,50,0.512639
3069.387173,50,0.539771
4226.637559,50,0.570476
3677.787564,50,0.600559
-2507.374951,50,0.618302
4662.091354,50,0.760677
8027.372538,50,0.795208
4743.187553,50,0.82425
3361.087553,50,0.852737
4691.512542,50,0.871507
8173.026093,50,1.02669
6652.278902,50,1.060357
7324.382375,50,1.092235
5268.525053,50,1.120999
7652.000053,50,1.150254
2978.912549,50,1.281993
9077.650024,50,1.330493
4629.25004,50,1.36118
-1107.974935,50,1.392822
4912.050034,50,1.428753
7731.700029,50,1.610188
4073.432354,50,1.6457
7502.84603,50,1.677486
936.740897,50,1.710438
4640.225056,50,1.742974
3889.422095,50,1.88267
8824.532172,50,1.918317
3443.814505,50,1.945772
5746.000049,50,1.977961
10969.123657,50,1.993711
9185.725032,50,2.158617
1616.967788,50,2.189876
2026.000049,50,2.2214
3075.871487,50,2.252866
3795.567416,50,2.284129
5042.250046,50,2.311661
8098.525047,50,2.451372
10837.28114,50,2.482695
-515.947022,50,2.52613
6546.650065,50,2.54564
12477.800052,50,2.577526
10468.822913,50,2.729461
2787.637554,50,2.7593
6653.550039,50,2.792572
1202.712558,50,2.814101
6444.912594,50,2.846064
9513.212559,50,2.98867
4071.612546,50,3.031946
283.650048,50,3.051433
5954.875046,50,3.083436
6921.287564,50,3.12664
12365.750049,50,3.272899
9441.662548,50,3.312341
5052.41255,50,3.349973
8338.253764,50,3.383512
5006.876966,50,3.41529
6781.043929,50,3.557629
7739.200057,50,3.591694
7372.491822,50,3.623486
2953.250046,50,3.65305
5401.187556,50,3.684688
6064.637552,50,3.838771
-340.874939,50,3.872297
3206.050071,50,3.903822
10313.730089,50,3.935614
1702.675018,50,3.966894
3210.62507,50,4.127746
5853.260419,50,4.159608
9322.225052,50,4.191235
11723.812557,50,4.23281
8989.800054,50,4.262407
13182.162549,50,4.428022
-1498.049979,50,4.444939
8196.062557,50,4.476824
1794.337559,50,4.521305
8625.437538,50,4.553203
7847.825049,50,4.582064
10065.450063,50,4.730772
7515.475055,50,4.764708
3077.093006,50,4.800529
10146.637564,50,4.827889
5873.262558,50,4.872323
6852.68757,50,5.016106
9172.325026,50,5.06043
6024.437555,50,5.095027
10641.86256,50,5.128315
-2843.162442,50,5.160754
10083.900054,50,5.316096
1578.687552,50,5.331857
5822.350056,50,5.363554
2772.762541,50,5.395106
10411.325056,50,5.442522
4186.662532,50,5.600647
4088.287548,50,5.632287
4981.700049,50,5.663972
5956.412558,50,5.695426
4837.087529,50,5.726362
9914.400057,50,5.88366
3496.350052,50,5.917572
6844.212526,50,5.947182
9333.52504,50,5.979055
8912.075062,50,6.020836
500.950054,50,6.16883
6932.112562,50,6.206656
-3376.049943,50,6.238531
697.375059,50,6.274139
11565.375063,50,6.30775
9320.937552,50,6.458317
13672.025055,50,6.48993
5962.600059,50,6.521541
8061.525045,50,6.553148
8386.400059,50,6.586758
9744.137551,50,6.743533
4784.10005,50,6.771368
8944.962547,50,6.802948
10876.750056,50,6.845087
3773.125023,50,6.876346
7477.475058,50,6.90823
-1947.562444,50,7.060482
6042.30006,50,7.094539
-2952.624941,50,7.120055
5200.100056,50,7.151691
10504.837558,50,7.183049
9055.725056,50,7.342252
8511.67506,50,7.389891
7120.625055,50,7.424033
-3293.512442,50,7.453861
3674.212557,50,7.485645
950.862551,50,7.628242
7216.100053,50,7.659935
4668.850061,50,7.703733
6187.712535,50,7.739885
9256.662559,50,7.776839
1558.61255,50,7.936602
2712.787522,50,7.968385
8638.650046,50,7.999539
3505.912558,50,8.023315
12218.47506,50,8.054278
3728.23756,50,8.217744
3820.90006,50,8.243996
8356.637551,50,8.284381
7281.487562,50,8.318071
9714.600037,50,8.355881
10056.275045,50,8.515326
7247.112568,50,8.544838
2100.462556,50,8.57661
7569.937558,50,8.610278
9457.38756,50,8.642063
13078.150053,50,8.797229
10452.387554,50,8.832676
11204.400049,50,8.868284
11196.325039,50,8.891798
6379.350056,50,8.92381
619.56256,50,9.074268
8136.90006,50,9.108597
4000.325054,50,9.129126
14479.550049,50,9.180015
7614.387559,50,9.211536
6740.562528,50,9.349831
11406.462559,50,9.39713
2836.825055,50,9.41914
6538.337524,50,9.460379
7359.587565,50,9.491888
7024.712544,50,9.529277
11566.050052,50,9.682741
12446.437558,50,9.698876
9298.237561,50,9.743061
7691.312568,50,9.764642
4819.02505,50,9.794153
6063.362559,50,9.952247
3734.35006,50,9.983644
10410.687558,50,10.019989
13208.825057,50,10.056816
2253.750063,50,10.088345
1835.91256,50,10.235973
5191.475063,50,10.267749
10162.425026,50,10.299263
12744.975057,50,10.330987
4123.63756,50,10.362978
5130.550026,50,10.520709
6331.775048,50,10.552565
0.137563,50,10.594148
11697.787558,50,10.628709
10092.437525,50,10.661565
4524.387561,50,10.805789
6939.475058,50,10.848081
3486.800053,50,10.886726
-1600.837442,50,10.92145
11927.61256,50,10.961834
10583.77506,50,11.120286
7660.650059,50,11.153838
4170.975058,50,11.187566
8866.787561,50,11.217088
10614.600044,50,11.249003
6535.637561,50,11.403665
2587.650062,50,11.421689
9661.062562,50,11.453444
11854.950033,50,11.497427
7621.162557,50,11.529718
8194.512561,50,11.679146
7183.187527,50,11.710673
9143.312556,50,11.741039
6906.362559,50,11.772308
11725.612541,50,11.807656
8779.337557,50,11.83349
9970.450026,50,11.991652
6945.537561,50,12.03594
13094.937548,50,12.065537
11234.162558,50,12.097139
6056.462536,50,12.12663
4381.462557,50,12.278756
7479.212552,50,12.308278
9642.400063,50,12.340071
9677.650048,50,12.355953
8401.36253,50,12.403172
