#{"t_start": 1774882943.5985308, "env_id": "None"}
r,l,t
3957.931133,50,0.031631
9600.150062,50,0.047276
6012.828812,50,0.079255
7231.703942,50,0.1108
4986.011846,50,0.126758
-7151.999953,50,0.208647
6578.557387,50,0.250227
3473.43852,50,0.275519
360.758056,50,0.300533
7700.710117,50,0.327275
5897.411318,50,0.410398
5813.988901,50,0.441957
551.487551,50,0.457813
6196.493051,50,0.498591
8405.475026,50,0.521609
4979.020378,50,0.618726
-2453.362394,50,0.646584
1682.333958,50,0.664387
-4415.325103,50,0.714022
-719.937449,50,0.74354
-135.023371,50,0.840864
8128.159713,50,0.870554
-1471.040428,50,0.902561
1325.673326,50,0.934276
6376.905762,50,0.972087
4673.544596,50,1.060951
6530.604786,50,1.108252
5049.500054,50,1.139918
7852.950025,50,1.187311
4600.689531,50,1.219639
6655.087561,50,1.339607
-2041.597865,50,1.375865
5222.965241,50,1.40615
5149.400033,50,1.439675
4218.357367,50,1.471546
7727.587536,50,1.552775
7246.337541,50,1.599581
2237.588002,50,1.629627
6493.112554,50,1.661157
1814.450069,50,1.693026
6920.642252,50,1.773895
1116.503541,50,1.811785
8638.950038,50,1.845311
7990.022612,50,1.868818
5559.956328,50,1.907086
5611.653409,50,1.93658
1967.650034,50,2.026953
2367.23756,50,2.058631
4044.75005,50,2.090177
1275.737508,50,2.128603
1222.975052,50,2.15913
7341.739688,50,2.267742
8550.225054,50,2.295329
11183.650041,50,2.331012
5208.812524,50,2.369862
4573.411949,50,2.403554
2312.700027,50,2.501505
9033.962558,50,2.532451
1095.775024,50,2.563996
7219.439173,50,2.611998
3556.037533,50,2.627794
-1529.291138,50,2.743953
4161.078623,50,2.779329
7249.512556,50,2.811047
5334.350054,50,2.841561
6969.46256,50,2.866467
5617.287559,50,2.961612
913.825058,50,2.998345
9151.200056,50,3.029126
5300.950055,50,3.058382
3803.284308,50,3.08994
4091.512557,50,3.183174
5023.364381,50,3.21687
9174.812803,50,3.249025
8769.534189,50,3.278474
5412.462553,50,3.310411
6622.637558,50,3.409623
7997.162549,50,3.437137
8787.587547,50,3.468751
13375.005243,50,3.502211
5673.248405,50,3.532156
6581.595878,50,3.64366
6261.837558,50,3.681079
3114.500056,50,3.714561
6488.175043,50,3.746173
5566.300063,50,3.779224
3648.137556,50,3.803
4187.45006,50,3.91503
10204.482975,50,3.94275
6480.415198,50,3.983225
6890.335456,50,4.006066
4530.337559,50,4.059405
7726.587535,50,4.148824
4433.275059,50,4.190482
4094.099966,50,4.222868
8761.650059,50,4.256126
8739.081737,50,4.275699
7905.750034,50,4.369986
1698.750062,50,4.415627
5594.746081,50,4.448735
11685.125061,50,4.482423
12310.812543,50,4.515634
6633.650025,50,4.608544
5824.30004,50,4.638109
10365.012554,50,4.669771
6852.251878,50,4.704023
9302.463762,50,4.736749
5511.737554,50,4.828654
5965.375055,50,4.860831
6685.962558,50,4.889613
-1129.112442,50,4.921636
8322.837527,50,4.955878
3757.023117,50,5.048102
5356.70005,50,5.079693
9428.125049,50,5.121749
-2687.512439,50,5.15327
9699.600048,50,5.175029
5206.654268,50,5.269563
8557.120735,50,5.304355
640.584084,50,5.338945
9051.212542,50,5.372548
13910.875047,50,5.402161
7524.599444,50,5.490786
11495.262548,50,5.526362
7488.075038,50,5.557884
7282.187553,50,5.585591
4294.887568,50,5.627059
4665.01256,50,5.658658
1110.875059,50,5.759646
5333.825054,50,5.791408
5501.837552,50,5.831282
