#{"t_start": 1774882307.8135905, "env_id": "None"}
r,l,t
5727.305021,50,0.033646
1530.837535,50,0.063227
2979.353792,50,0.142719
5795.975056,50,0.17028
6134.705532,50,0.195553
3749.435751,50,0.278664
-3246.567718,50,0.306169
992.588687,50,0.383084
5530.575055,50,0.410901
7660.525044,50,0.438738
-1130.777826,50,0.521508
2811.395745,50,0.553107
2372.105208,50,0.639924
4927.210334,50,0.66378
1787.875058,50,0.710032
1721.264996,50,0.79049
6138.374693,50,0.822485
7865.689772,50,0.925148
8692.491721,50,0.948625
2240.350043,50,0.99483
7356.01255,50,1.087169
5959.237539,50,1.108245
4793.95004,50,1.151578
1552.845274,50,1.234925
2126.350062,50,1.280403
9615.666118,50,1.399122
-1950.64629,50,1.424699
5323.791196,50,1.472322
7646.32764,50,1.570654
3430.175051,50,1.605867
8241.168625,50,1.692909
2394.375054,50,1.724313
4211.787549,50,1.768074
7317.137559,50,1.85089
1843.187537,50,1.892057
5901.587561,50,1.983083
7368.662544,50,2.015914
6915.450052,50,2.041558
4346.912555,50,2.140751
9083.64348,50,2.176357
6514.550052,50,2.263095
1071.731977,50,2.30269
10318.816476,50,2.336293
8099.450032,50,2.425344
2522.387553,50,2.456977
7253.887556,50,2.484575
4185.650062,50,2.571751
4341.287556,50,2.603437
8503.812531,50,2.692496
8615.575027,50,2.722226
6660.062548,50,2.752025
2238.298226,50,2.848721
277.175061,50,2.882921
6588.425219,50,2.960067
7974.312536,50,3.003933
8013.350054,50,3.033532
7179.811938,50,3.11864
909.737561,50,3.150275
2700.537541,50,3.256847
5821.025057,50,3.28846
10775.175053,50,3.318335
9910.275056,50,3.405549
7065.175052,50,3.441541
8079.812554,50,3.471148
7573.81255,50,3.56616
7783.237555,50,3.594329
1962.362557,50,3.689807
6622.512553,50,3.720738
1857.000051,50,3.752593
10205.962559,50,3.853807
5518.430657,50,3.885091
4996.637542,50,3.975147
5619.875057,50,4.006787
3372.503598,50,4.038704
4662.11256,50,4.136332
7162.800061,50,4.165889
4458.075036,50,4.245109
10466.150051,50,4.290865
9490.275062,50,4.308561
10146.520494,50,4.403275
7886.600049,50,4.435247
1315.612558,50,4.538028
6230.012554,50,4.571647
5671.937557,50,4.607276
-4553.64994,50,4.695585
12984.925053,50,4.729451
9348.550061,50,4.761066
9705.637536,50,4.846376
2624.262543,50,4.877794
9697.087553,50,4.974838
9260.075048,50,5.012925
6099.937553,50,5.03661
7301.787553,50,5.131723
10397.775057,50,5.177591
7005.287538,50,5.258512
8745.962548,50,5.298594
442.887552,50,5.334122
13689.337551,50,5.424587
8470.712553,50,5.456213
10563.68755,50,5.545412
3715.400025,50,5.57702
9492.887554,50,5.608629
9708.287526,50,5.698722
2932.887525,50,5.729586
9068.262542,50,5.8204
353.762539,50,5.852014
8262.362557,50,5.881628
7332.662554,50,5.976161
4826.062556,50,6.007727
9751.800058,50,6.040211
2899.112552,50,6.128608
3601.975056,50,6.160456
11168.000057,50,6.25844
4255.337555,50,6.289974
10906.250053,50,6.317248
7209.600059,50,6.418478
5545.471993,50,6.450005
