#{"t_start": 1774883124.485425, "env_id": "None"}
r,l,t
8554.887539,50,0.036605
3253.916825,50,0.062979
4008.462562,50,0.141135
4419.913474,50,0.156998
3356.050052,50,0.196845
4084.462561,50,0.283315
-3857.950329,50,0.298956
2457.212556,50,0.385156
6775.222976,50,0.412672
1596.316968,50,0.437659
-801.210287,50,0.524326
8403.226199,50,0.551852
6641.898223,50,0.636878
8676.237522,50,0.660465
3564.209732,50,0.693983
8347.08908,50,0.780127
4071.123889,50,0.810397
-255.608076,50,0.90335
2801.966173,50,0.936614
7149.375043,50,0.967631
3789.770823,50,1.056136
9907.815362,50,1.086605
4238.012547,50,1.140007
9825.950057,50,1.257726
3607.800052,50,1.284826
-5262.302388,50,1.382624
1673.844491,50,1.414652
10024.775047,50,1.432502
1337.378707,50,1.537278
3866.087553,50,1.571123
5041.250439,50,1.660034
8774.519573,50,1.685313
12113.875053,50,1.720924
-2959.970167,50,1.811752
-2804.234323,50,1.847276
7087.862546,50,1.934543
4267.312545,50,1.964064
7446.95005,50,1.995843
2669.800057,50,2.086232
10643.487554,50,2.126437
3355.175057,50,2.207007
1567.825055,50,2.238603
-401.462446,50,2.27
10489.025049,50,2.349294
1889.333803,50,2.392722
6234.462535,50,2.422501
9349.712554,50,2.526992
12610.30006,50,2.554816
4151.012548,50,2.64568
8984.81253,50,2.665446
4918.287554,50,2.697145
10481.600033,50,2.803404
5874.100058,50,2.832663
7562.087539,50,2.927777
4200.375053,50,2.9593
11329.600052,50,2.987259
5990.47505,50,3.076136
11612.637553,50,3.108112
4506.27505,50,3.187734
4417.012557,50,3.232629
2904.037554,50,3.250131
7342.675036,50,3.357556
5456.287555,50,3.388182
9394.075057,50,3.42845
11295.987551,50,3.520098
6913.712552,50,3.551625
7373.875056,50,3.651876
10423.47503,50,3.683475
3768.025059,50,3.718833
14547.350045,50,3.82931
5576.525054,50,3.865721
5203.587553,50,3.960291
7016.750027,50,3.989451
7579.725058,50,4.021294
4431.112555,50,4.116166
8696.662563,50,4.148091
1958.825031,50,4.262554
3666.362542,50,4.296675
8076.762556,50,4.329468
12500.062553,50,4.417044
5090.52506,50,4.464658
2798.937552,50,4.567481
12782.112546,50,4.590831
9446.837549,50,4.622184
3572.03753,50,4.724868
9969.275053,50,4.748297
3187.375054,50,4.79122
3262.771481,50,4.875081
3476.150057,50,4.906895
7703.975034,50,5.001575
6176.357272,50,5.050861
6202.825053,50,5.084872
10345.825056,50,5.175317
3004.712557,50,5.207103
7798.525055,50,5.30564
7131.487554,50,5.343182
8836.637557,50,5.364702
10147.075056,50,5.459607
2091.125055,50,5.491935
10964.987561,50,5.600242
4724.813608,50,5.637498
3205.287517,50,5.673083
4772.27505,50,5.769634
5868.462545,50,5.792237
-1282.062443,50,5.891097
5209.03756,50,5.918426
11216.850035,50,5.949542
2676.162553,50,6.05594
12151.575051,50,6.091257
8278.812556,50,6.124959
7725.87506,50,6.201504
8025.300058,50,6.233014
9211.662538,50,6.343862
1602.912558,50,6.373858
10475.900037,50,6.409245
3569.900062,50,6.512913
9880.737555,50,6.54251
7597.187556,50,6.629122
5338.762556,50,6.661145
3714.200037,50,6.708903
5640.58756,50,6.793746
8362.025042,50,6.820156
4363.062544,50,6.914501
4609.625056,50,6.945937
7334.475053,50,6.98947
8613.900056,50,7.072684
12004.887551,50,7.104613
4126.475059,50,7.136081
7152.362532,50,7.25676
6668.775042,50,7.295818
7182.887551,50,7.392767
9002.750055,50,7.421624
7236.812556,50,7.453238
9781.037548,50,7.544238
11661.587554,50,7.575978
7638.437531,50,7.657525
5817.512552,50,7.700057
3586.662557,50,7.733377
10463.812553,50,7.827574
2866.412555,50,7.859351
8298.437545,50,7.953292
6001.887523,50,7.990003
10847.775038,50,8.021394
12111.762548,50,8.1165
-61.51246,50,8.152891
4804.075057,50,8.249516
3897.250034,50,8.28314
