#{"t_start": 1774882534.5321631, "env_id": "None"}
r,l,t
-572.504657,50,0.031803
2595.328226,50,0.058369
6850.682548,50,0.081062
-6778.35806,50,0.115376
5871.600048,50,0.127608
2383.321385,50,0.222563
-2480.925933,50,0.238377
-874.626541,50,0.269912
4454.575063,50,0.306213
9853.00005,50,0.333046
9678.887538,50,0.412412
3651.587556,50,0.443973
1944.175051,50,0.481686
5904.680799,50,0.507388
2976.337557,50,0.546747
2949.205829,50,0.632237
7994.493861,50,0.663801
3939.239714,50,0.69566
2426.930211,50,0.734428
6351.962518,50,0.760041
6573.055159,50,0.856867
4982.712541,50,0.888393
2803.100062,50,0.920503
6294.355987,50,0.951812
3673.960166,50,0.981594
10146.837541,50,1.083912
4382.064429,50,1.118599
5512.67505,50,1.139986
1620.450017,50,1.181779
5765.550054,50,1.203213
5663.312548,50,1.323406
2217.876784,50,1.358833
8940.951659,50,1.393851
9905.881736,50,1.427377
3815.387541,50,1.4569
6656.848176,50,1.549608
5819.83115,50,1.582317
6466.053384,50,1.613295
4101.837549,50,1.661096
6362.103708,50,1.692365
-2507.807901,50,1.799551
1987.700059,50,1.833329
777.850065,50,1.87194
1083.75005,50,1.911999
829.435809,50,1.945765
9896.325047,50,1.982908
6317.700026,50,2.088565
6306.825052,50,2.121349
5241.212557,50,2.152155
4888.987548,50,2.184096
6677.562563,50,2.215908
9431.287545,50,2.344365
2786.409515,50,2.381919
5748.512525,50,2.413211
2307.025042,50,2.450689
2126.025046,50,2.485719
7457.487545,50,2.589576
9515.406446,50,2.609553
3489.062554,50,2.641038
7164.100058,50,2.672458
1460.677341,50,2.704082
3794.525064,50,2.809057
8763.916881,50,2.843596
6586.050046,50,2.86236
7521.065039,50,2.907847
8509.312556,50,2.941275
6245.015868,50,3.037783
2066.362552,50,3.073349
11173.325055,50,3.098797
6857.712194,50,3.136851
2206.800051,50,3.170466
6145.850024,50,3.27305
5982.225052,50,3.288957
978.81992,50,3.321178
1805.400059,50,3.355365
5743.458591,50,3.401263
1682.237199,50,3.490624
5931.937544,50,3.51213
7021.574395,50,3.555659
10374.350033,50,3.584853
8733.987556,50,3.626966
8001.625045,50,3.725859
3983.537545,50,3.761813
3094.350022,50,3.792577
8445.050054,50,3.813084
5534.612531,50,3.845063
3611.600036,50,3.884824
5548.987556,50,3.992743
11360.387545,50,4.01826
4419.101915,50,4.051891
3238.107285,50,4.081421
6068.687547,50,4.114458
8057.312552,50,4.210919
8771.287553,50,4.238548
8692.646081,50,4.270391
6302.412556,50,4.302023
9437.950048,50,4.3396
10486.612561,50,4.428446
8976.187559,50,4.463628
10216.525047,50,4.491145
10975.837536,50,4.52902
8941.150043,50,4.560021
5867.987562,50,4.64853
5462.837559,50,4.693198
11922.162557,50,4.723998
7150.025044,50,4.743621
7013.325037,50,4.789363
1392.562554,50,4.869747
2842.362555,50,4.92281
5193.875054,50,4.966043
5351.500055,50,5.001338
9480.325056,50,5.026853
5157.925057,50,5.156049
5281.537551,50,5.187336
7555.900054,50,5.216852
12404.41256,50,5.24852
1716.975057,50,5.293194
4782.337547,50,5.390226
8988.475049,50,5.424332
8697.950049,50,5.459598
5000.875054,50,5.489378
5127.550056,50,5.516892
12121.737548,50,5.612445
4647.687562,50,5.648019
-1425.23744,50,5.676569
11664.587536,50,5.714448
8739.937558,50,5.74819
9723.550039,50,5.771287
5880.200064,50,5.868779
12229.187542,50,5.89865
3863.900058,50,5.933183
5668.662551,50,5.961962
9104.100073,50,5.985914
8597.037532,50,6.089889
3810.437554,50,6.121408
9273.11256,50,6.15103
4479.412542,50,6.182539
3850.487554,50,6.213562
11300.887559,50,6.325521
11224.987555,50,6.358567
3855.062553,50,6.403832
11075.887558,50,6.449402
7851.287556,50,6.490309
10401.012558,50,6.593461
3469.875059,50,6.647289
12614.875056,50,6.684988
3095.000018,50,6.722041
4330.150059,50,6.757454
5655.337563,50,6.867205
8609.487541,50,6.904781
5142.175057,50,6.939297
8057.437554,50,6.977959
11237.050058,50,7.017427
7734.362529,50,7.126093
3436.025055,50,7.165386
3722.56252,50,7.202736
2967.775057,50,7.243939
7522.962554,50,7.280115
7236.662558,50,7.385101
7335.800039,50,7.420408
7143.625052,50,7.455428
10088.912538,50,7.488748
2748.950057,50,7.518274
9617.82505,50,7.628016
12684.437548,50,7.669973
9712.412558,50,7.69785
6891.762559,50,7.729962
9814.287555,50,7.773651
4955.937552,50,7.887189
9946.125055,50,7.921888
5621.200037,50,7.954575
8178.337526,50,7.987086
9893.537554,50,8.011544
8867.687556,50,8.059088
9006.012552,50,8.153712
-3625.099942,50,8.186826
4399.350058,50,8.233062
10094.125051,50,8.264534
13430.637551,50,8.296038
3753.962556,50,8.403871
10153.562557,50,8.438645
8047.625056,50,8.483997
7375.000058,50,8.515289
5306.382066,50,8.552718
7297.175059,50,8.662034
9231.275057,50,8.695334
3306.700021,50,8.734868
8157.087551,50,8.768146
-1498.42494,50,8.801522
8223.70006,50,8.909528
10879.150041,50,8.949057
6550.912553,50,8.987691
10307.225055,50,9.019222
5178.675044,50,9.051609
9932.687555,50,9.176777
10972.05005,50,9.208811
2111.40528,50,9.248527
9617.937551,50,9.274111
9013.38755,50,9.320579
10938.700037,50,9.41523
8610.437527,50,9.449058
6213.475061,50,9.484588
9159.587552,50,9.516115
6053.925055,50,9.54199
10493.412552,50,9.637254
5478.125055,50,9.68072
10776.100064,50,9.714031
4511.200062,50,9.747874
10302.512531,50,9.779681
5683.562548,50,9.872353
2368.162554,50,9.904138
3565.434342,50,9.937137
10827.950052,50,9.96903
3695.825059,50,9.989266
9352.550054,50,10.030895
8467.42506,50,10.126731
6484.025037,50,10.16026
8992.187555,50,10.190134
6129.675059,50,10.223716
12795.525054,50,10.259296
7502.050035,50,10.348504
5789.862556,50,10.380071
3844.087558,50,10.412084
12381.950044,50,10.451011
8784.66256,50,10.475097
13083.412557,50,10.580281
10068.55006,50,10.61156
3472.375056,50,10.633065
-2770.412439,50,10.676755
4094.22506,50,10.696794
1492.200056,50,10.792355
4065.775043,50,10.8241
12749.112542,50,10.86931
9947.950046,50,10.902832
12904.512552,50,10.936281
-236.12494,50,11.035115
11524.375056,50,11.062836
5333.125056,50,11.098125
5310.500061,50,11.130999
7340.587555,50,11.160785
9547.350058,50,11.249907
12222.612563,50,11.28176
7085.112537,50,11.31696
12251.587554,50,11.350462
8715.775035,50,11.376243
3565.737563,50,11.47595
12374.650054,50,11.50179
3378.375056,50,11.533522
6174.737552,50,11.571432
6660.262555,50,11.603215
5659.15004,50,11.692261
13645.237559,50,11.7234
5003.437556,50,11.766982
5317.462555,50,11.798504
-1975.97494,50,11.82802
