#{"t_start": 1774878647.545145, "env_id": "None"}
r,l,t
8065.403755,50,0.003184
5993.462562,50,0.015864
-1663.057927,50,0.015864
8907.012554,50,0.015864
-574.077558,50,0.032046
2718.705762,50,0.032046
-1444.033463,50,0.032046
11.156711,50,0.047816
6015.284151,50,0.047816
7129.244985,50,0.047816
7082.766692,50,0.063827
4330.344355,50,0.063827
1552.385559,50,0.063827
3418.875031,50,0.079669
6594.638973,50,0.079669
6399.370486,50,0.079669
6285.800057,50,0.097273
9981.706456,50,0.097273
7408.754517,50,0.10739
303.362552,50,0.111638
6465.925064,50,0.153939
10263.825051,50,0.179337
3164.941235,50,0.22242
-3920.666439,50,0.237358
2018.390905,50,0.276794
-5485.161194,50,0.307433
-3449.219313,50,0.338698
4111.1842,50,0.368474
-1562.738935,50,0.403011
6560.304741,50,0.429094
3436.871858,50,0.476892
3294.033647,50,0.508105
6291.430644,50,0.538973
-312.113365,50,0.576762
-1385.276921,50,0.61861
9070.675058,50,0.650458
4139.736105,50,0.682228
6216.012557,50,0.713993
3170.389674,50,0.745619
6578.112522,50,0.792376
4488.387548,50,0.824181
9308.250041,50,0.85574
6936.375053,50,0.887614
7251.362541,50,0.932962
7781.361943,50,0.966715
5991.01256,50,1.002309
6644.575057,50,1.035572
9023.500051,50,1.071113
7092.925067,50,1.10498
4502.562556,50,1.14041
-489.887471,50,1.177654
9769.762553,50,1.234834
5751.862547,50,1.279732
12786.412431,50,1.32173
560.812558,50,1.361529
5895.725052,50,1.39535
3173.987529,50,1.43684
10329.887556,50,1.472452
4540.100048,50,1.505727
-2272.012445,50,1.551643
8224.362557,50,1.585621
10206.437549,50,1.616969
5632.287554,50,1.667792
8325.812833,50,1.696811
3230.262554,50,1.744572
5856.833266,50,1.778766
-966.387442,50,1.81793
12225.075044,50,1.851337
4097.475062,50,1.886922
7140.237559,50,1.918651
7967.845787,50,1.958538
5538.200055,50,1.992966
7412.625058,50,2.028255
7670.825048,50,2.061763
7247.878179,50,2.093587
8957.162552,50,2.13105
2073.525056,50,2.157075
10521.537557,50,2.204959
2650.075054,50,2.244847
6523.900057,50,2.279438
5708.362559,50,2.32411
8532.625062,50,2.355895
5315.850061,50,2.395752
6569.800056,50,2.427279
4008.700065,50,2.462806
5835.85006,50,2.490535
3461.775041,50,2.522178
10128.537526,50,2.5677
11232.387557,50,2.601525
7786.000059,50,2.633269
9453.150054,50,2.664844
5962.91255,50,2.696721
-1596.337435,50,2.744088
3818.037528,50,2.780066
3650.875029,50,2.807531
4673.475062,50,2.854217
748.737564,50,2.895621
9561.062559,50,2.931353
2774.137557,50,2.965066
8659.437558,50,3.000966
143.462552,50,3.036497
4863.47506,50,3.072026
5689.937555,50,3.111492
8477.362558,50,3.140162
1511.712563,50,3.203399
10700.400038,50,3.25046
7987.587546,50,3.298198
10737.612557,50,3.33975
9710.587559,50,3.384595
5482.90006,50,3.424221
5830.500058,50,3.463756
9285.175056,50,3.487536
834.650058,50,3.542924
5520.612557,50,3.578536
9328.787539,50,3.615888
45.450029,50,3.64699
8683.412547,50,3.68083
-1348.599944,50,3.725283
4037.650044,50,3.765182
8302.862542,50,3.800772
7145.350048,50,3.84014
11794.175055,50,3.867708
11267.712539,50,3.91463
3194.300064,50,3.946504
8364.612529,50,3.981268
7894.587546,50,4.026212
5743.925026,50,4.077614
8323.000044,50,4.117498
4024.67505,50,4.152864
4479.125058,50,4.184669
7434.900056,50,4.238445
10805.500056,50,4.275714
6053.125047,50,4.316878
-1419.112444,50,4.342396
11555.237555,50,4.394949
7679.825056,50,4.421726
7150.400058,50,4.471188
7292.062562,50,4.509961
9391.762559,50,4.549508
11498.525051,50,4.581248
6792.275061,50,4.623761
2987.737517,50,4.658285
10362.57506,50,4.699772
8986.225033,50,4.737305
10116.100046,50,4.769074
6298.62506,50,4.816719
10426.112538,50,4.848475
8316.700059,50,4.896029
13539.137558,50,4.927811
1196.42506,50,4.973537
6012.32505,50,5.006963
9984.587566,50,5.038846
11082.662525,50,5.086206
1036.887559,50,5.130137
12006.312538,50,5.166184
9674.850045,50,5.217086
3815.475059,50,5.258594
11950.250059,50,5.293678
7349.875029,50,5.339408
7380.450054,50,5.38148
13106.087548,50,5.418439
13208.187554,50,5.450029
5065.737538,50,5.509866
4315.300036,50,5.553164
5079.812553,50,5.59279
6930.812558,50,5.624726
7630.512555,50,5.673645
6591.637561,50,5.703894
13232.637558,50,5.751326
323.050059,50,5.79811
9526.112556,50,5.845671
-466.598852,50,5.893385
12819.150046,50,5.924998
100.087558,50,5.982941
3915.08756,50,6.02059
6859.70006,50,6.052056
14688.137553,50,6.099897
9294.932209,50,6.131663
4334.625059,50,6.192863
430.400058,50,6.234538
4076.825057,50,6.279998
10687.787556,50,6.318747
8631.287543,50,6.352396
9975.375041,50,6.403931
14444.800046,50,6.447219
-2896.692097,50,6.494837
-899.324945,50,6.541298
15525.087554,50,6.583754
6321.70006,50,6.623101
2914.525049,50,6.653178
-2325.148862,50,6.701403
10392.91256,50,6.751099
2383.91256,50,6.796673
8766.637557,50,6.830204
8029.850046,50,6.884341
4859.595472,50,6.923257
12724.96256,50,6.954875
9592.075057,50,7.002341
6353.950059,50,7.049677
5779.037557,50,7.084445
-9721.910542,50,7.132491
7311.025051,50,7.184376
3885.605293,50,7.238911
11877.57504,50,7.282784
6328.450058,50,7.319705
10411.775059,50,7.36535
2725.515731,50,7.406768
549.337555,50,7.446043
10633.525059,50,7.491575
1401.292108,50,7.531013
6025.558716,50,7.57064
1862.015845,50,7.617898
10122.575059,50,7.658007
10862.537557,50,7.697095
9121.662553,50,7.74244
6873.812558,50,7.779969
7608.200059,50,7.825012
-3550.363366,50,7.854814
13226.675054,50,7.90163
7946.625019,50,7.953491
7155.106736,50,7.996933
9246.100057,50,8.03863
7021.337559,50,8.081913
10293.675059,50,8.127309
4121.122279,50,8.168936
6776.537559,50,8.215125
1101.89623,50,8.273561
-103.735773,50,8.321848
10444.87506,50,8.360911
261.270914,50,8.430739
9406.150059,50,8.48175
8366.200043,50,8.532123
6725.864691,50,8.583293
11118.925058,50,8.614882
10465.35006,50,8.670265
1968.888246,50,8.71021
6698.96256,50,8.766314
9003.500058,50,8.804101
7004.794821,50,8.854995
7188.137547,50,8.906521
4127.507401,50,8.955893
10697.325058,50,9.000624
6666.000052,50,9.053741
1374.368391,50,9.097476
6453.937558,50,9.140026
5712.175055,50,9.182059
10677.675053,50,9.232679
8871.750057,50,9.278719
2513.400604,50,9.306902
9872.925059,50,9.354489
10416.06256,50,9.404235
8834.362536,50,9.443026
2137.91255,50,9.48752
1598.919454,50,9.530687
-2014.857539,50,9.57231
5568.516944,50,9.607446
6517.993738,50,9.656578
8868.512556,50,9.707686
10516.387562,50,9.752333
6694.900057,50,9.791866
-1936.304719,50,9.835092
10844.25006,50,9.87467
5361.437547,50,9.922319
5289.606568,50,9.96207
10713.250059,50,10.012269
-2385.086566,50,10.050934
14829.012551,50,10.096349
3760.562559,50,10.127745
12961.325059,50,10.175231
855.524151,50,10.20729
12300.887541,50,10.257197
8816.125027,50,10.303248
7900.937558,50,10.349938
6713.950364,50,10.388223
9499.650058,50,10.436535
6970.378256,50,10.475899
6954.200033,50,10.507787
1294.325038,50,10.562991
6144.76996,50,10.605082
4111.731904,50,10.646693
12560.237551,50,10.688775
14125.725051,50,10.729805
9232.350033,50,10.785661
13226.48755,50,10.824702
-4074.937462,50,10.856651
8207.350055,50,10.90456
7593.237555,50,10.9519
6395.637553,50,10.999032
11000.900056,50,11.040565
5082.975051,50,11.078088
6437.387546,50,11.131459
15007.800056,50,11.176824
3949.650061,50,11.224397
5091.565372,50,11.268238
7742.25098,50,11.312176
8214.500058,50,11.352721
6119.362559,50,11.394529
9745.181487,50,11.434619
-2359.057093,50,11.475152
5357.485917,50,11.504876
11092.200058,50,11.552459
8838.537558,50,11.603799
3468.897055,50,11.647528
8854.462556,50,11.695068
7301.150053,50,11.726731
6162.900057,50,11.782587
8561.300056,50,11.82772
6790.787544,50,11.853648
4438.375046,50,11.901108
11090.362547,50,11.948439
9727.037521,50,12.004233
5181.40004,50,12.043692
-1846.17749,50,12.075367
14634.86255,50,12.13342
10444.600054,50,12.175033
1071.533274,50,12.200899
8594.725061,50,12.248987
1734.730928,50,12.296122
11994.562557,50,12.346025
-1915.016806,50,12.3853
6562.050059,50,12.430244
7365.112557,50,12.483388
6552.775051,50,12.517354
4953.137561,50,12.564731
8482.61256,50,12.596224
12234.887551,50,12.651526
338.756027,50,12.69985
14438.387559,50,12.740386
9748.275059,50,12.785671
7495.062559,50,12.841245
14192.800059,50,12.880524
7071.012559,50,12.912191
-2961.652228,50,12.966371
9916.800025,50,13.0092
6948.225439,50,13.049744
12465.237555,50,13.092618
10805.075059,50,13.138862
3817.625056,50,13.192617
3148.916481,50,13.245315
5015.162528,50,13.292864
11170.837542,50,13.342063
3863.238263,50,13.385549
7196.300039,50,13.418513
5437.387559,50,13.46472
4882.562561,50,13.51266
2478.259487,50,13.560168
9211.025052,50,13.609425
1136.293525,50,13.639316
2454.475037,50,13.70169
9392.712559,50,13.734512
8684.125059,50,13.781381
7347.212556,50,13.835017
12764.250034,50,13.877192
10308.262548,50,13.922214
6566.575023,50,13.965277
3710.850038,50,14.002956
560.260556,50,14.054314
15967.45005,50,14.095131
6728.887552,50,14.128652
10062.337544,50,14.180165
10556.987557,50,14.225502
7968.237559,50,14.267122
10713.862556,50,14.302905
7222.400059,50,14.35052
6611.137558,50,14.397852
11734.75006,50,14.42944
11400.425058,50,14.491292
-6885.033308,50,14.535684
13246.262555,50,14.571313
9837.737559,50,14.62896
2194.739563,50,14.682462
10121.350039,50,14.724133
13164.975059,50,14.76939
8205.500056,50,14.814542
9439.450043,50,14.859983
5543.875042,50,14.903816
627.862533,50,14.944933
1463.856104,50,14.982798
8307.912558,50,15.022391
5811.487559,50,15.06435
8553.800059,50,15.111994
7565.737552,50,15.149588
4641.087536,50,15.189205
4236.22506,50,15.233932
6866.81256,50,15.276576
9699.425057,50,15.316582
13374.212556,50,15.357971
12532.587547,50,15.396759
7745.562559,50,15.436801
3798.787554,50,15.474382
10939.912559,50,15.521766
2941.70006,50,15.553449
7047.500038,50,15.608747
11107.950061,50,15.650356
12158.987544,50,15.679874
5986.925055,50,15.729403
9685.287553,50,15.769202
9541.762559,50,15.808761
7731.85006,50,15.838346
-1570.768068,50,15.885593
6922.350059,50,15.942805
5284.687559,50,15.984971
9506.762559,50,16.025606
10197.575039,50,16.059143
12714.487537,50,16.106605
