#{"t_start": 1774878777.067054, "env_id": "None"}
r,l,t
9201.169007,50,0.015793
3579.392729,50,0.015793
4261.17111,50,0.015793
-554.287444,50,0.031715
-647.646879,50,0.031715
3348.766763,50,0.031715
4391.463372,50,0.047894
5234.225044,50,0.051906
1511.102412,50,0.057929
7040.325053,50,0.063752
7395.159692,50,0.063752
-4325.136086,50,0.063752
-1465.802843,50,0.063752
2360.120425,50,0.079678
-1928.849953,50,0.079678
3324.649938,50,0.079678
10012.738544,50,0.095837
6846.707113,50,0.095837
4437.948515,50,0.095837
4639.210441,50,0.111784
1067.073799,50,0.143125
8484.530933,50,0.158772
2285.037536,50,0.190712
5564.383514,50,0.222518
785.930801,50,0.260258
-2827.774575,50,0.28577
8884.959281,50,0.317373
-1056.702914,50,0.345262
1976.636155,50,0.376825
-723.44103,50,0.406743
5151.530762,50,0.437256
-1832.880599,50,0.458767
-264.492862,50,0.49057
636.476363,50,0.52028
-10014.454972,50,0.537901
8036.587556,50,0.582478
2827.469351,50,0.601243
-2770.49042,50,0.633027
520.815515,50,0.664825
100.418494,50,0.706722
737.899821,50,0.728526
10190.562555,50,0.760638
2616.057061,50,0.808297
11230.77506,50,0.844112
6577.575064,50,0.880673
10402.487549,50,0.903327
5154.375059,50,0.950925
7149.287544,50,0.988657
6779.137558,50,1.014468
9038.450018,50,1.062368
10049.225063,50,1.094349
6245.762548,50,1.126066
9209.450047,50,1.170439
3036.500017,50,1.20504
4005.125053,50,1.236499
12738.58753,50,1.283485
5884.875054,50,1.323034
6286.750033,50,1.362973
9422.762552,50,1.409821
3000.275055,50,1.441649
7763.412555,50,1.494949
9298.675022,50,1.530738
6574.150058,50,1.568008
2666.450063,50,1.599488
9692.237545,50,1.647217
4999.275034,50,1.681783
818.937538,50,1.727469
1290.787539,50,1.77267
-432.837443,50,1.806066
5722.287542,50,1.837655
7919.375059,50,1.87903
9215.887557,50,1.914836
3324.71256,50,1.948547
6285.087559,50,1.982254
10792.162557,50,2.023168
9371.700058,50,2.042674
8966.800019,50,2.098709
9017.812558,50,2.134557
7624.750053,50,2.169879
4961.737563,50,2.201877
7527.350025,50,2.245197
5035.537555,50,2.278722
8232.900036,50,2.315732
