#{"t_start": 1774878690.6968608, "env_id": "None"}
r,l,t
-510.657838,50,0.016167
1431.312543,50,0.016167
3111.025245,50,0.016167
1561.041181,50,0.032092
4508.924322,50,0.032092
7708.625053,50,0.032092
7879.225055,50,0.048041
7883.812566,50,0.048041
3847.1335,50,0.048041
4356.340594,50,0.063802
3501.583167,50,0.063802
7688.962547,50,0.063802
4722.846102,50,0.079663
1432.277892,50,0.079663
2492.610946,50,0.079663
-1428.268546,50,0.095808
7956.050055,50,0.095808
-2859.002032,50,0.095808
5433.312548,50,0.111983
5777.882553,50,0.111983
10095.043035,50,0.147989
4479.037557,50,0.175508
8227.417684,50,0.206007
7924.587552,50,0.221766
8583.912548,50,0.259581
2729.912553,50,0.288823
1674.701091,50,0.318074
7573.275057,50,0.342451
4155.062556,50,0.372307
-1913.312447,50,0.399083
6927.660151,50,0.429543
8803.350023,50,0.456539
3876.543093,50,0.489216
3702.862562,50,0.505922
9665.975042,50,0.552963
1091.725059,50,0.577934
9742.98754,50,0.60995
7601.297008,50,0.637888
13452.225055,50,0.663403
6425.212557,50,0.702745
12194.950057,50,0.726516
8396.800049,50,0.758051
3742.400061,50,0.797713
7585.625056,50,0.821188
10403.287555,50,0.868694
720.312555,50,0.900042
4857.000056,50,0.931866
2720.462556,50,0.967636
11845.31255,50,0.995413
5903.362563,50,1.035922
2309.641189,50,1.068712
929.250058,50,1.106118
6522.975058,50,1.153364
7627.112553,50,1.185071
2191.837568,50,1.240356
9763.700055,50,1.284314
7828.225055,50,1.323961
8642.40005,50,1.361373
7935.825056,50,1.398668
-4971.137445,50,1.432191
8916.112555,50,1.475382
9154.300057,50,1.501712
7015.875058,50,1.548289
8984.812545,50,1.590241
8884.050047,50,1.630085
8510.687539,50,1.659575
4404.462564,50,1.691469
-3019.034365,50,1.722882
9909.762554,50,1.76843
8287.300059,50,1.801462
7484.100061,50,1.832984
5038.665545,50,1.87266
3495.866696,50,1.896443
11002.687558,50,1.944135
2378.109336,50,1.983726
3677.887527,50,2.021497
