#{"t_start": 1774878480.8109708, "env_id": "None"}
r,l,t
11001.137547,50,0.015762
7423.087533,50,0.015762
3343.118427,50,0.035646
2171.862541,50,0.035646
3099.144786,50,0.035646
4404.795973,50,0.047736
58.212572,50,0.047736
-336.087446,50,0.047736
-1120.803277,50,0.063692
3147.391127,50,0.063692
2663.941343,50,0.063692
9901.736858,50,0.079901
6351.709377,50,0.079901
2505.897327,50,0.079901
8052.268871,50,0.095994
3004.350046,50,0.095994
3878.278426,50,0.095994
7255.33146,50,0.113142
4967.546792,50,0.115151
1531.510366,50,0.115151
3116.912555,50,0.160288
9166.137559,50,0.176485
11858.400045,50,0.224516
4816.257824,50,0.256743
1157.137538,50,0.29885
1647.400046,50,0.340469
591.425027,50,0.370001
8189.115112,50,0.411841
4032.049336,50,0.447192
-4080.165331,50,0.482441
3742.125061,50,0.526378
8215.187559,50,0.558826
3606.025063,50,0.593735
12741.925054,50,0.635935
3582.775056,50,0.670494
9169.400051,50,0.706363
1448.212564,50,0.740095
-1008.299947,50,0.775681
8958.662527,50,0.809274
6275.225051,50,0.840367
9212.800041,50,0.876033
5711.653095,50,0.907624
-2325.737477,50,0.94551
9670.134641,50,0.985351
7171.762544,50,1.023215
3734.462558,50,1.060605
6733.050056,50,1.094907
8599.512565,50,1.130907
7908.750059,50,1.175135
11451.537556,50,1.206954
7853.07504,50,1.238856
6922.74193,50,1.273268
9814.450062,50,1.302719
8394.959757,50,1.35083
-1405.954331,50,1.39324
8817.026574,50,1.433342
-3435.469087,50,1.46296
8122.212553,50,1.506557
1785.137549,50,1.54623
9686.925045,50,1.58112
3095.450046,50,1.616717
3880.887534,50,1.652588
-3857.456505,50,1.684447
7114.40005,50,1.716442
7530.675047,50,1.747868
3591.087561,50,1.801379
10070.612555,50,1.837897
9772.762539,50,1.858679
2898.537553,50,1.906238
11491.062556,50,1.938085
6843.963243,50,1.970347
3229.66254,50,2.022394
5945.928695,50,2.057931
4044.76898,50,2.093087
3914.751521,50,2.128538
10955.487554,50,2.164606
5328.825055,50,2.1999
2365.937565,50,2.236956
10564.92506,50,2.276551
8122.675052,50,2.302593
2868.825052,50,2.356052
8921.375058,50,2.381722
6694.100052,50,2.441248
9214.537548,50,2.482549
3553.225058,50,2.523832
5486.15006,50,2.555573
11960.137555,50,2.610933
7046.600062,50,2.64723
3171.675059,50,2.682094
-398.474941,50,2.714584
7208.750035,50,2.767448
5974.350027,50,2.805963
10828.575051,50,2.84098
6645.825029,50,2.872883
4778.900053,50,2.904649
6317.087555,50,2.952617
4017.650044,50,2.998727
2491.325057,50,3.0346
10680.237546,50,3.063885
8767.762558,50,3.117252
9429.225037,50,3.162502
12847.675058,50,3.190296
12922.337551,50,3.238339
10186.637558,50,3.27001
5575.887527,50,3.301449
7205.287554,50,3.349218
3787.525059,50,3.38101
5651.423784,50,3.412585
6699.637561,50,3.460336
7039.612528,50,3.492206
7941.11256,50,3.540384
6062.762536,50,3.572214
7663.062523,50,3.619903
6783.637564,50,3.667178
6307.350059,50,3.713077
6215.800028,50,3.746542
10042.337557,50,3.778093
9141.525049,50,3.825714
9877.612555,50,3.86516
5716.96256,50,3.908822
1829.93756,50,3.950299
8645.600021,50,3.983874
8967.825058,50,4.03571
9159.275056,50,4.063157
4793.587563,50,4.111086
5551.050065,50,4.158979
3467.462559,50,4.195595
2324.650058,50,4.249026
7853.162555,50,4.286582
10841.762558,50,4.324437
3323.175059,50,4.366025
1260.475018,50,4.397982
3714.337537,50,4.447855
12854.287549,50,4.477786
4258.237554,50,4.525756
1901.16254,50,4.573861
9938.450056,50,4.637789
6048.862562,50,4.710983
8796.812542,50,4.779304
9270.825056,50,4.823733
3642.925047,50,4.872616
9884.900049,50,4.906173
7523.725057,50,4.95799
5776.450019,50,5.007404
11494.21256,50,5.052433
11875.950058,50,5.095716
-125.487458,50,5.137318
11320.950058,50,5.190877
11503.162555,50,5.234612
7617.425057,50,5.270671
14272.475052,50,5.320069
7523.662552,50,5.349864
7795.212554,50,5.39749
11428.787551,50,5.429079
6533.587561,50,5.475575
11411.775039,50,5.528723
3785.037555,50,5.57518
2102.612558,50,5.61815
4110.500038,50,5.669986
4462.737559,50,5.715698
7581.575054,50,5.758875
10899.96253,50,5.800224
1147.437557,50,5.839841
5797.950053,50,5.887475
4552.275024,50,5.94008
9539.56256,50,5.965914
8248.63754,50,6.027193
7353.475056,50,6.066796
8663.60006,50,6.106406
7065.962557,50,6.148023
7676.150048,50,6.189376
10079.337536,50,6.219217
10071.525059,50,6.266677
2671.212268,50,6.322601
2802.687559,50,6.36183
7778.975039,50,6.41681
2487.969541,50,6.457106
8491.400059,50,6.505045
3783.987559,50,6.556415
9011.88755,50,6.606053
7963.137559,50,6.647933
12652.012536,50,6.679573
7263.487559,50,6.740722
11420.400035,50,6.78433
5363.300057,50,6.82785
11664.66256,50,6.869684
6998.300024,50,6.901504
7765.387517,50,6.965821
11187.062558,50,7.015942
5648.587555,50,7.061092
2252.97506,50,7.092746
10034.162554,50,7.141716
10863.987557,50,7.172656
9015.25006,50,7.222468
2391.712557,50,7.267618
6482.675059,50,7.30723
8644.86256,50,7.346815
15631.287541,50,7.396242
5717.050024,50,7.451701
5430.947443,50,7.489061
10729.42506,50,7.547967
4608.125057,50,7.584862
9173.412523,50,7.644015
10596.550058,50,7.679617
15366.875059,50,7.727305
4562.637555,50,7.774643
7951.675046,50,7.816878
9303.125059,50,7.853407
9399.950055,50,7.899122
7972.78094,50,7.940492
7276.012559,50,7.980001
4696.675054,50,8.028044
5289.651403,50,8.076018
-2804.246251,50,8.124315
6734.837559,50,8.172236
6035.900057,50,8.220081
7940.22506,50,8.268012
-3692.24305,50,8.330606
9362.987552,50,8.373032
5809.462559,50,8.411575
9787.31256,50,8.456673
3678.225051,50,8.503857
6264.887558,50,8.543869
11939.975052,50,8.59969
7398.012559,50,8.646022
8661.01256,50,8.683596
4663.025059,50,8.725088
5564.089994,50,8.774716
5758.81255,50,8.828187
9422.787555,50,8.869568
3756.787552,50,8.899082
11346.27506,50,8.947082
4034.01255,50,9.004517
9915.512557,50,9.044863
9444.837561,50,9.104326
4016.607369,50,9.145198
-1538.84995,50,9.185569
5308.012558,50,9.234243
11194.300059,50,9.282089
7058.712555,50,9.314144
11476.862527,50,9.361807
10972.11255,50,9.393877
8833.337558,50,9.446239
5699.275059,50,9.501528
14682.887553,50,9.546544
6989.587559,50,9.584681
15541.63756,50,9.616619
11352.012556,50,9.676433
11033.437558,50,9.732479
10887.475056,50,9.776532
4912.05006,50,9.808076
8220.72504,50,9.857228
735.770414,50,9.906521
4658.725058,50,9.947205
8160.650061,50,9.988032
11375.450053,50,10.033361
4977.137536,50,10.080932
6978.762559,50,10.124294
12810.500056,50,10.171925
5240.087559,50,10.219507
3004.05003,50,10.265541
12204.000059,50,10.313281
7045.962558,50,10.348228
11253.487546,50,10.394658
12357.61254,50,10.442792
8465.337542,50,10.480743
8467.050047,50,10.522031
11199.837559,50,10.575712
4171.312558,50,10.617241
4765.23756,50,10.649531
3208.912559,50,10.71406
13762.075053,50,10.753866
11391.987559,50,10.79642
4842.575058,50,10.841783
13093.575059,50,10.881661
5719.85005,50,10.921009
8754.687559,50,10.962394
11184.037559,50,11.001748
10652.225024,50,11.045881
14257.012533,50,11.09354
8805.800059,50,11.141396
4341.475058,50,11.189009
1217.000051,50,11.237674
6965.125059,50,11.267805
12213.587556,50,11.328429
11199.100041,50,11.376922
10078.650058,50,11.41019
9869.700048,50,11.461204
3400.85006,50,11.50497
9267.887543,50,11.552601
9048.162532,50,11.586032
12012.862559,50,11.637953
11989.650044,50,11.683194
9267.97506,50,11.726732
5286.425057,50,11.768126
10687.725053,50,11.810379
2411.552434,50,11.837523
10500.525049,50,11.896022
9301.56254,50,11.938491
769.800055,50,11.976118
10450.55006,50,12.019478
3277.137524,50,12.062613
2881.501944,50,12.107969
11205.262553,50,12.153857
6022.612559,50,12.204902
10733.150057,50,12.248547
11501.612524,50,12.294071
7004.572001,50,12.327532
12593.450042,50,12.387184
14477.725052,50,12.428234
10994.712533,50,12.478475
7225.575059,50,12.517022
9724.325041,50,12.565664
5480.687559,50,12.612778
6490.662557,50,12.659751
9987.937555,50,12.703513
7334.437553,50,12.746867
6739.775059,50,12.790171
9135.312538,50,12.833773
7811.162559,50,12.865556
13568.175052,50,12.926012
7986.750033,50,12.960638
785.791768,50,13.008904
7778.650053,50,13.05403
8574.900046,50,13.096751
11869.96256,50,13.13567
7074.450035,50,13.167784
9168.062539,50,13.233226
11607.287555,50,13.276621
7757.05006,50,13.315979
5606.037541,50,13.357625
9014.862559,50,13.38933
11551.92505,50,13.436654
1002.500057,50,13.484354
8255.37504,50,13.532046
9928.975052,50,13.584977
1879.800057,50,13.628617
5950.484599,50,13.668496
10766.150058,50,13.710178
8822.012557,50,13.755503
2881.800053,50,13.785841
7551.650059,50,13.837432
9003.000054,50,13.88149
12404.75005,50,13.923876
3278.412543,50,13.959807
12295.312547,50,14.007621
9725.450055,50,14.055984
6873.862531,50,14.111737
11811.58756,50,14.15511
9838.487534,50,14.201763
9725.487557,50,14.246651
5155.195306,50,14.2967
7266.262556,50,14.349812
9943.875052,50,14.389416
8913.187546,50,14.421267
12338.287552,50,14.468798
10559.275023,50,14.516378
10924.400058,50,14.566505
11601.343424,50,14.606115
5575.67506,50,14.649538
5579.875059,50,14.696685
6752.875029,50,14.744003
5807.98756,50,14.787093
6802.350053,50,14.832927
10753.51252,50,14.864893
12158.700049,50,14.912553
2881.737552,50,14.944066
1384.136097,50,14.992069
11255.200035,50,15.037741
7564.412523,50,15.083618
13039.187559,50,15.130981
4758.650056,50,15.166472
13751.550058,50,15.216035
4695.502444,50,15.261386
11838.162558,50,15.309489
1952.98753,50,15.363531
7194.412559,50,15.403077
10239.025045,50,15.437247
4927.21255,50,15.485381
7429.550051,50,15.533178
6207.125036,50,15.580744
7456.400057,50,15.628056
9455.880412,50,15.67934
10995.437559,50,15.722715
4750.300056,50,15.76784
9156.550043,50,15.807449
10458.462558,50,15.849239
9180.087567,50,15.891367
9348.612534,50,15.928825
9601.550038,50,15.960582
10275.21253,50,16.010144
11964.162559,50,16.058772
10402.200044,50,16.103905
8253.137543,50,16.155161
14172.312546,50,16.200265
10974.962539,50,16.241868
9252.637557,50,16.277411
4753.700045,50,16.325379
9270.100054,50,16.392399
8580.237539,50,16.436586
13281.000059,50,16.492444
9844.687552,50,16.53978
-3017.421715,50,16.580941
-508.263558,50,16.610514
11363.000024,50,16.667385
-1127.643792,50,16.715827
12001.737541,50,16.757418
4521.638118,50,16.785352
8859.46255,50,16.833315
6952.025054,50,16.883065
6289.000031,50,16.938327
10493.037556,50,16.975894
10419.025046,50,17.022172
7088.063126,50,17.071099
15632.275059,50,17.118909
8787.125051,50,17.16024
2640.817676,50,17.199745
5699.150926,50,17.24537
6149.15002,50,17.277186
10312.100054,50,17.324538
9334.07506,50,17.374813
10104.33756,50,17.419423
10734.225048,50,17.460624
4937.75006,50,17.501039
6593.946648,50,17.540904
8407.53755,50,17.580443
11498.700045,50,17.622885
5552.96257,50,17.669323
13374.287558,50,17.712962
11520.81315,50,17.752557
12816.137549,50,17.784199
8040.875058,50,17.831816
12428.107499,50,17.881496
4969.125019,50,17.911025
16248.337556,50,17.970525
3832.37502,50,18.006103
12764.200054,50,18.062994
14207.412558,50,18.107321
8618.287559,50,18.14907
10805.114124,50,18.181017
10566.175058,50,18.246808
11447.687537,50,18.290759
11162.350031,50,18.332081
-397.651504,50,18.373364
11631.437528,50,18.420967
5899.100058,50,18.463659
10415.300054,50,18.512192
9679.362527,50,18.545667
11706.500057,50,18.62947
4902.20002,50,18.671889
9281.225058,50,18.719336
9310.962547,50,18.767035
6420.160313,50,18.798663
5185.108486,50,18.846409
10238.487517,50,18.90039
12282.70006,50,18.941615
10022.762556,50,18.973535
10290.700068,50,19.020779
13856.525051,50,19.086035
7334.285551,50,19.127652
12817.125049,50,19.164575
7743.187712,50,19.227232
7858.203655,50,19.276662
-1099.444708,50,19.314261
8487.475055,50,19.357634
5974.218171,50,19.395491
11090.887542,50,19.433905
10873.325073,50,19.480688
6173.425048,50,19.536308
9226.462553,50,19.586728
9517.400043,50,19.625188
9480.725057,50,19.669345
5123.894838,50,19.716206
15993.237553,50,19.748097
12138.712541,50,19.804263
8763.062546,50,19.849745
403.686488,50,19.891656
3147.137571,50,19.939295
9002.956366,50,19.987179
5552.375056,50,20.036942
6114.925049,50,20.081974
7006.407377,50,20.123629
-2324.608159,50,20.166544
5440.000062,50,20.208122
10099.887518,50,20.256069
3996.325668,50,20.287763
6178.516911,50,20.338762
6827.05827,50,20.388819
5897.537576,50,20.430028
5865.400056,50,20.469068
5909.17506,50,20.508606
13754.53755,50,20.540779
12400.775061,50,20.594361
13225.46253,50,20.64188
7457.450023,50,20.688046
6535.291617,50,20.736499
1534.112552,50,20.784173
11131.607985,50,20.825779
10830.375038,50,20.873262
9478.762559,50,20.904961
9528.91256,50,20.953328
3684.187551,50,21.00042
11074.425061,50,21.031888
595.100058,50,21.079696
8717.114345,50,21.127669
6423.437178,50,21.175972
4664.600059,50,21.223417
11573.725052,50,21.270875
7461.325055,50,21.303104
10287.012534,50,21.351127
6544.025027,50,21.40638
10651.712566,50,21.447754
4109.512556,50,21.493397
7568.375056,50,21.52491
10221.050057,50,21.580794
11210.150038,50,21.620076
8195.412561,50,21.665403
13416.400051,50,21.705291
2838.83128,50,21.750645
6545.013775,50,21.792526
6037.900023,50,21.839898
10699.529927,50,21.879245
5612.52503,50,21.920607
12168.725057,50,21.962224
13985.387552,50,21.999817
7226.60006,50,22.047321
4820.537537,50,22.091344
9866.812531,50,22.132627
11638.612553,50,22.173913
9528.15006,50,22.20658
1952.837554,50,22.253026
13688.312535,50,22.30112
9833.887558,50,22.348493
9152.435174,50,22.380083
5584.269016,50,22.439884
10665.475053,50,22.487455
8280.400026,50,22.523074
5510.956162,50,22.574529
5140.826502,50,22.614397
8347.212557,50,22.66548
8260.137554,50,22.714529
11929.075045,50,22.761766
4411.680408,50,22.809407
7882.694834,50,22.851922
10738.062528,50,22.889282
4409.375048,50,22.934917
11072.037556,50,22.979143
10217.600057,50,23.022423
8409.600053,50,23.071518
5076.701825,50,23.109069
10898.837551,50,23.153167
10357.775055,50,23.195459
6797.974494,50,23.242826
5699.872485,50,23.285894
7819.10722,50,23.333307
7098.952624,50,23.376417
7252.775067,50,23.418032
9322.200059,50,23.459388
7282.52105,50,23.506567
9588.900059,50,23.546188
14759.06255,50,23.581769
4766.451512,50,23.637064
8113.025037,50,23.67662
4274.750326,50,23.708104
5876.662556,50,23.755661
9281.725021,50,23.808794
8524.828674,50,23.850683
11930.887554,50,23.882751
9310.724514,50,23.946428
924.604864,50,23.977785
9376.750057,50,24.0253
339.962551,50,24.07395
4529.862546,50,24.126894
11818.905051,50,24.178285
9432.362535,50,24.23175
5993.888961,50,24.274497
6201.51255,50,24.318725
6026.706125,50,24.364077
3285.479859,50,24.40573
14344.737557,50,24.453764
12746.65006,50,24.507928
9515.200054,50,24.549535
527.523805,50,24.581102
8945.087892,50,24.636452
13580.550047,50,24.675501
10403.437549,50,24.715049
-409.274944,50,24.757252
-337.687452,50,24.801566
11669.162561,50,24.851228
4316.560516,50,24.883136
9969.47716,50,24.938828
14744.407356,50,24.976283
5960.037521,50,25.034141
8406.787524,50,25.073697
11340.150055,50,25.117513
11607.837536,50,25.166686
1544.300053,50,25.198167
8387.07503,50,25.257945
5993.275056,50,25.29862
9643.208823,50,25.342651
8422.612556,50,25.388283
6858.127009,50,25.42997
9703.650051,50,25.486609
9935.000019,50,25.535229
9011.889741,50,25.582861
8842.608174,50,25.626427
10048.76255,50,25.657818
9393.650058,50,25.709224
6935.575057,50,25.752602
1983.637553,50,25.792219
5968.150055,50,25.832051
5685.950036,50,25.878522
14134.78756,50,25.921635
10091.70006,50,25.959203
7788.48756,50,26.010419
6193.271495,50,26.051631
8759.975588,50,26.092936
12129.512556,50,26.132136
6014.712555,50,26.173765
6968.475058,50,26.217426
1557.312553,50,26.259105
10539.237536,50,26.306699
12932.712553,50,26.340844
9472.512557,50,26.385971
12019.925034,50,26.433511
4214.937572,50,26.481353
10752.33755,50,26.535212
8335.862554,50,26.576869
8231.63754,50,26.624404
11267.787543,50,26.672489
2553.695209,50,26.704249
310.262555,50,26.751812
7501.137548,50,26.799619
9640.438893,50,26.851183
10620.91255,50,26.900739
9488.225036,50,26.926758
12699.087547,50,26.979808
9064.172515,50,27.021468
12454.437558,50,27.054975
11824.412544,50,27.102607
12239.000055,50,27.152144
9473.250056,50,27.190018
11302.262541,50,27.231397
13939.200053,50,27.271043
10217.962534,50,27.308771
7127.675049,50,27.36027
9910.587538,50,27.40229
9394.362546,50,27.435688
8463.250031,50,27.487056
5555.640401,50,27.530391
339.925051,50,27.578037
10184.525055,50,27.609746
9085.962559,50,27.667704
15412.800055,50,27.709051
8260.400057,50,27.752693
5293.200051,50,27.799923
12357.650052,50,27.847105
6447.032334,50,27.900612
10682.775059,50,27.941704
12542.225058,50,27.995303
11802.262558,50,28.043193
4927.225056,50,28.082237
6033.775061,50,28.134631
5581.566372,50,28.180423
14213.03754,50,28.209727
8962.33755,50,28.257531
4871.112545,50,28.309094
12889.287559,50,28.35071
10052.025021,50,28.392362
7944.350056,50,28.433692
13497.775052,50,28.483021
8396.27506,50,28.526642
9618.885109,50,28.577933
14560.025051,50,28.617306
6013.106321,50,28.65289
7226.887543,50,28.708801
5054.237521,50,28.756163
8519.922277,50,28.795518
6754.237527,50,28.842911
6617.875061,50,28.88051
8402.200038,50,28.925638
9660.662554,50,28.978684
11505.762546,50,29.016784
11842.762558,50,29.075109
459.950054,50,29.120024
8091.187556,50,29.163377
9626.437561,50,29.205275
11517.10006,50,29.238542
10982.625057,50,29.286462
5385.737561,50,29.330234
12763.362554,50,29.397707
2315.438321,50,29.441374
6333.97504,50,29.482855
12362.625048,50,29.522466
7893.012533,50,29.571836
7214.097694,50,29.603663
4661.575047,50,29.65309
9945.537542,50,29.691633
11885.775057,50,29.734056
4562.187554,50,29.777071
3140.075045,50,29.832534
6564.062545,50,29.8783
4359.275039,50,29.92577
12344.950062,50,29.96337
11076.387557,50,30.007002
10352.662543,50,30.046351
11593.512552,50,30.086178
5584.807637,50,30.125628
9046.075048,50,30.172345
12735.562562,50,30.215905
7319.762559,50,30.251612
5287.600051,50,30.301712
8413.962555,50,30.351212
6411.091916,50,30.396339
6004.365453,50,30.436118
8735.925053,50,30.475402
14653.775057,50,30.519275
9340.646342,50,30.552554
11027.675048,50,30.616702
4053.525056,50,30.658344
9437.812556,50,30.711792
8092.61255,50,30.743577
7559.827812,50,30.791652
10954.425051,50,30.8232
11615.550053,50,30.887208
8884.925055,50,30.926889
10575.058971,50,30.968352
9413.505673,50,31.008158
3422.789616,50,31.049497
11644.112541,50,31.09487
8726.887553,50,31.13649
10004.962546,50,31.175844
12530.562559,50,31.221575
8726.262553,50,31.264453
7238.384605,50,31.305582
11963.368367,50,31.346118
7224.737554,50,31.401398
10636.787491,50,31.425215
12095.087554,50,31.483051
9759.600059,50,31.531053
5348.012563,50,31.568469
8213.025055,50,31.62451
10396.000044,50,31.671831
4324.362552,50,31.711435
9674.112528,50,31.762839
12.20925,50,31.806289
5738.737529,50,31.853992
8840.287533,50,31.91158
11124.675056,50,31.959198
9828.025036,50,31.996749
8113.850042,50,32.028643
11174.222401,50,32.076428
11251.887547,50,32.118202
12232.937537,50,32.161409
10890.175031,50,32.202977
11814.300045,50,32.250702
9282.628629,50,32.304721
4976.199456,50,32.345703
13039.900066,50,32.393602
10757.612553,50,32.427198
7751.137547,50,32.488984
8154.937548,50,32.532775
10716.387568,50,32.568182
6595.637553,50,32.616687
5957.825059,50,32.647599
8662.10005,50,32.710911
6416.812557,50,32.750523
13239.325053,50,32.790151
16053.337551,50,32.831769
11516.562557,50,32.877379
7290.375034,50,32.916724
12546.662546,50,32.964234
9046.87944,50,33.015947
11028.262558,50,33.043483
16491.762553,50,33.091295
3923.259901,50,33.141352
8947.100051,50,33.17289
9505.58756,50,33.220079
6177.887546,50,33.249606
10391.850048,50,33.297045
11032.762559,50,33.344476
10878.887556,50,33.392147
11324.062552,50,33.446329
3552.300016,50,33.494246
14564.512546,50,33.53516
5112.968788,50,33.566872
11222.225056,50,33.629919
11181.275058,50,33.661431
8440.375032,50,33.723547
7726.012554,50,33.757176
4548.29067,50,33.804974
8631.925046,50,33.846642
10509.247918,50,33.895185
5815.625048,50,33.931988
8620.287546,50,33.98932
10762.075042,50,34.030714
3706.287527,50,34.076354
784.202486,50,34.11835
9655.800058,50,34.169239
6931.47505,50,34.201061
12042.100036,50,34.264646
9783.519281,50,34.296703
6851.802182,50,34.354168
17589.475059,50,34.392472
9468.212556,50,34.42406
9096.637556,50,34.479774
11249.562558,50,34.525247
9029.150056,50,34.569021
13374.08755,50,34.614662
9032.57504,50,34.666703
9538.698829,50,34.709753
8588.200054,50,34.757157
6937.687553,50,34.803227
3268.026322,50,34.850619
13491.962559,50,34.893688
9741.512531,50,34.943963
9514.525049,50,34.987258
8107.400049,50,35.026922
3401.475046,50,35.076457
13644.137556,50,35.122481
9572.525054,50,35.177311
10002.27503,50,35.216424
7127.737551,50,35.263506
10970.762558,50,35.302883
10793.975035,50,35.350256
4650.062557,50,35.395041
8770.187558,50,35.437398
4543.607728,50,35.485024
7496.800052,50,35.538207
12774.200022,50,35.579748
15687.08756,50,35.629317
12655.275053,50,35.684855
12116.950061,50,35.738852
12130.587547,50,35.786417
7865.937548,50,35.818194
6902.175059,50,35.866238
3703.250051,50,35.920437
5588.587539,50,35.959245
13107.337557,50,36.008014
14801.312543,50,36.039712
3099.450052,50,36.102479
9639.450052,50,36.145081
8549.36252,50,36.188439
11448.824394,50,36.213952
12710.450058,50,36.276977
12483.63753,50,36.32252
7349.976347,50,36.357171
13228.737554,50,36.404329
-343.236185,50,36.451986
10634.250045,50,36.499304
8661.903687,50,36.547122
12053.068369,50,36.579398
11865.158512,50,36.639419
8757.013421,50,36.684162
12125.900043,50,36.727215
12805.80005,50,36.7687
11782.437543,50,36.800483
11827.175047,50,36.852045
8866.675042,50,36.898173
12181.213961,50,36.944928
5147.587532,50,36.990674
11442.200059,50,37.034318
11569.912553,50,37.086202
8560.775047,50,37.135894
12131.637555,50,37.187583
14496.075052,50,37.224957
10024.86255,50,37.266316
9530.905656,50,37.304937
9071.285781,50,37.339894
6559.687533,50,37.387318
13528.525054,50,37.435175
11407.231187,50,37.480045
7568.587538,50,37.513649
7339.050059,50,37.561357
10889.046034,50,37.616961
10301.050048,50,37.656326
11905.325058,50,37.703866
10014.637549,50,37.755725
10024.799454,50,37.797274
5986.562524,50,37.838817
8177.071986,50,37.878721
11205.996807,50,38.009066
9072.633595,50,38.116078
9270.062526,50,38.214105
10182.637558,50,38.285083
12271.587536,50,38.343981
14558.687555,50,38.400357
15516.725057,50,38.455103
11689.425049,50,38.510161
7070.575033,50,38.557579
9296.693446,50,38.614944
3357.825058,50,38.655046
4328.478302,50,38.716354
12308.106441,50,38.769445
10771.137557,50,38.836978
11467.762529,50,38.874145
9160.387535,50,38.933506
2635.562546,50,38.968658
9002.675045,50,39.001069
11396.150048,50,39.041871
12566.962555,50,39.075451
5475.242565,50,39.101088
8403.912558,50,39.143137
2550.525055,50,39.177339
8102.500021,50,39.208397
6558.850055,50,39.23811
10183.875031,50,39.285639
9866.475061,50,39.318145
12253.612548,50,39.365134
2571.364984,50,39.412794
6061.425076,50,39.454763
6837.887557,50,39.490864
5550.912548,50,39.531806
14529.51805,50,39.563073
5948.212552,50,39.610604
7509.700057,50,39.648716
7113.825049,50,39.684242
7101.450052,50,39.721608
10968.725061,50,39.761492
10316.712562,50,39.802347
4969.352607,50,39.832721
5830.262527,50,39.879591
12114.112533,50,39.927038
9229.525051,50,39.95876
8930.762552,50,40.006441
8416.286359,50,40.038322
7829.112557,50,40.069685
9959.178446,50,40.102522
8198.975056,50,40.15135
12868.112556,50,40.188162
8780.225058,50,40.226434
16244.887557,50,40.274752
4698.187544,50,40.326337
6057.312536,50,40.369568
14993.462553,50,40.402947
5633.362559,50,40.453144
11340.362552,50,40.493038
9616.70004,50,40.532635
6435.875049,50,40.577914
10318.584617,50,40.616744
11578.512558,50,40.654765
8854.36256,50,40.686309
12250.125058,50,40.730825
7405.912559,50,40.763082
12790.725059,50,40.796567
9315.037553,50,40.828535
10978.887552,50,40.875992
6378.800051,50,40.907836
3320.250054,50,40.951854
3177.7358,50,40.989156
9547.262558,50,41.028143
12065.191889,50,41.064911
11044.00006,50,41.098402
15583.275028,50,41.134012
8461.087534,50,41.161743
12284.125033,50,41.203957
5404.587592,50,41.241222
6232.662528,50,41.275445
11200.912553,50,41.310058
7960.612552,50,41.34762
8554.872433,50,41.382958
10936.800053,50,41.414835
9372.876671,50,41.449675
4985.78756,50,41.495277
9530.462556,50,41.52513
9380.850059,50,41.572897
8428.500031,50,41.615708
4106.450058,50,41.653881
6902.700043,50,41.683977
9218.700055,50,41.729428
9107.57506,50,41.766914
4687.633587,50,41.794481
6017.050049,50,41.826004
11562.187554,50,41.879676
8796.337539,50,41.905323
12364.312565,50,41.947024
11187.971936,50,41.984839
12666.743192,50,42.016618
10496.425038,50,42.048355
9051.93755,50,42.095944
7098.450055,50,42.131296
8896.665825,50,42.164876
11225.562543,50,42.1999
13420.37506,50,42.222033
7849.040326,50,42.267813
8719.850088,50,42.301244
7028.371517,50,42.341167
11419.162559,50,42.374171
12799.125052,50,42.40595
4519.744392,50,42.443519
6633.98755,50,42.479006
-3199.324947,50,42.506781
6010.050023,50,42.538682
6638.175053,50,42.579807
