#{"t_start": 1774878435.3722641, "env_id": "None"}
r,l,t
5422.306421,50,1.41309
4116.562511,50,1.417098
6965.250044,50,1.42211
3984.694753,50,1.428123
3758.467728,50,1.430127
2174.474447,50,1.442958
5456.022518,50,1.442958
7085.94632,50,1.453776
4515.271079,50,1.453776
6474.039235,50,1.453776
6393.74717,50,1.468308
4960.384296,50,1.468308
5796.830989,50,1.468308
1494.247095,50,1.486979
5687.83756,50,1.486979
6767.812555,50,1.486979
5230.12356,50,1.500193
2232.35005,50,1.500193
-465.626957,50,1.500193
7860.275054,50,1.517947
8250.250361,50,1.560133
5727.950059,50,1.579401
1857.449814,50,1.628864
5193.455429,50,1.660443
207.727201,50,1.694536
3794.525056,50,1.732269
-6389.746576,50,1.762796
5642.53755,50,1.785712
4290.764337,50,1.817251
6751.965675,50,1.864891
4192.350051,50,1.898574
4825.950049,50,1.93014
6719.000053,50,1.96377
8493.977579,50,1.9914
9263.950061,50,2.031235
2670.000052,50,2.065463
8136.987563,50,2.102643
7465.450061,50,2.13429
11979.550042,50,2.16622
951.162553,50,2.207691
9365.18394,50,2.241292
8296.000058,50,2.276672
2569.162557,50,2.308594
9933.200045,50,2.34001
3747.487557,50,2.380833
8682.775051,50,2.403708
8815.30285,50,2.435887
-1604.803925,50,2.467349
7420.962544,50,2.518915
10013.637561,50,2.555094
6833.487529,50,2.578748
9740.400051,50,2.622599
10007.31255,50,2.660746
7251.125056,50,2.694136
7428.787557,50,2.73732
6092.687565,50,2.768674
1502.676272,50,2.802607
8066.812523,50,2.832366
10112.750053,50,2.866356
11760.550058,50,2.912027
10297.562556,50,2.950276
3870.162554,50,2.986449
4879.425057,50,3.029459
8553.712554,50,3.055536
10230.075046,50,3.101198
3236.562561,50,3.13304
6840.925026,50,3.165011
6542.487529,50,3.212087
5535.66256,50,3.247664
5023.625056,50,3.287866
2889.475057,50,3.323573
8548.312538,50,3.355739
7976.300056,50,3.387028
8872.762529,50,3.424478
6816.400051,50,3.455801
8993.700058,50,3.501555
6276.325058,50,3.545339
4945.862554,50,3.57712
10199.337557,50,3.609001
8876.812558,50,3.666663
3551.062559,50,3.703447
10337.50004,50,3.73528
10915.175052,50,3.78027
3075.300023,50,3.814107
-342.387445,50,3.856251
6616.261003,50,3.877729
10790.587559,50,3.929383
2133.293736,50,3.956573
4564.250061,50,4.008313
9816.062541,50,4.036383
6913.300953,50,4.094031
7922.800021,50,4.134338
10623.337557,50,4.163237
8012.087552,50,4.210582
11234.762551,50,4.242114
7420.88753,50,4.292111
4465.487527,50,4.333814
4199.450026,50,4.369216
10864.134091,50,4.429324
4471.987521,50,4.467536
5268.75005,50,4.511803
4699.575049,50,4.559331
3723.487559,50,4.60672
1921.327799,50,4.638543
1632.612558,50,4.686008
2354.546114,50,4.723686
7439.853024,50,4.757309
8590.937558,50,4.794997
9247.600025,50,4.828558
4629.937564,50,4.876819
9838.787549,50,4.924099
7397.287557,50,4.962148
7790.875053,50,5.003078
11819.300054,50,5.047002
9027.562553,50,5.081833
8018.22849,50,5.137953
10292.937548,50,5.162331
9087.812553,50,5.193239
4419.787555,50,5.240716
11712.61254,50,5.288618
3095.56256,50,5.322345
16488.262556,50,5.370336
2980.287559,50,5.399856
8328.587561,50,5.445484
13565.86255,50,5.478821
5369.463471,50,5.530209
-2853.82594,50,5.558874
14064.300047,50,5.609066
13080.28755,50,5.646614
11208.362532,50,5.684267
7270.092949,50,5.725991
7777.985088,50,5.765536
5677.662554,50,5.794777
12040.537558,50,5.842216
9345.562536,50,5.887925
8145.650036,50,5.929388
9834.100056,50,5.969002
7771.725056,50,6.000663
3742.15006,50,6.032818
9212.062548,50,6.090526
3046.275052,50,6.138035
8995.937556,50,6.159307
4707.775053,50,6.206652
8747.532444,50,6.254628
6208.737552,50,6.29955
2241.362548,50,6.337
2318.119038,50,6.364784
2741.509513,50,6.412462
5623.112558,50,6.451971
5832.162527,50,6.499678
4561.092281,50,6.539055
8749.225052,50,6.591273
11345.337557,50,6.642179
4896.807453,50,6.665776
8107.200035,50,6.719343
11100.100042,50,6.753519
174.885795,50,6.792313
8153.687555,50,6.836543
5229.537558,50,6.878158
1173.782983,50,6.903722
6498.737099,50,6.957322
4137.512428,50,6.998834
7227.925053,50,7.047122
